subscriber_key,score_date,churn_risk_score,churn_risk_band,upsell_propensity,cross_sell_propensity,predicted_clv,clv_segment,next_best_action,model_version,confidence_score
5449,2026-01-28,0.2422,Low,0.3506,0.3992,2982.52,Medium,App Promotion,v2.3.1,0.95
5450,2026-01-28,0.0731,Low,0.5158,0.4667,1589.23,Low,Device Offer,v2.3.1,0.87
5451,2026-01-28,0.245,Low,0.1271,0.2722,7557.46,Medium,Engagement Campaign,v2.3.1,0.93
5452,2026-01-28,0.0763,Low,0.3816,0.2968,2397.96,Medium,App Promotion,v2.3.1,0.85
5453,2026-01-28,0.1931,Low,0.447,0.2416,845.84,Low,Engagement Campaign,v2.3.1,0.94
5454,2026-01-28,0.02,Low,0.3722,0.2151,189847.13,High,App Promotion,v2.3.1,0.72
5455,2026-01-28,0.1751,Low,0.3889,0.3742,3787.64,Medium,App Promotion,v2.3.1,0.77
5456,2026-01-28,0.0526,Low,0.474,0.3309,3488.15,Medium,Engagement Campaign,v2.3.1,0.9
5457,2026-01-28,0.1754,Low,0.2768,0.5688,2619.19,Medium,Engagement Campaign,v2.3.1,0.85
5458,2026-01-28,0.1616,Low,0.4794,0.2724,3347.23,Medium,Engagement Campaign,v2.3.1,0.89
5459,2026-01-28,0.95,High,0.05,0.5415,1967.58,Low,Service Recovery,v2.3.1,0.76
5460,2026-01-28,0.95,High,0.05,0.4605,483.3,Low,Service Recovery,v2.3.1,0.94
5461,2026-01-28,0.069,Low,0.3368,0.4686,1973.49,Low,App Promotion,v2.3.1,0.83
5462,2026-01-28,0.0273,Low,0.3419,0.3475,1742.54,Low,Engagement Campaign,v2.3.1,0.94
5463,2026-01-28,0.02,Low,0.409,0.4808,1189.23,Low,Engagement Campaign,v2.3.1,0.75
5464,2026-01-28,0.1132,Low,0.4596,0.3555,24759.46,High,Survey,v2.3.1,0.83
5465,2026-01-28,0.1647,Low,0.4097,0.4181,1126.6,Low,App Promotion,v2.3.1,0.8
5466,2026-01-28,0.1129,Low,0.2699,0.4263,19478.98,High,App Promotion,v2.3.1,0.71
5467,2026-01-28,0.0641,Low,0.5267,0.5082,2766.59,Medium,5G Upgrade,v2.3.1,0.94
5468,2026-01-28,0.02,Low,0.3432,0.2321,67167.16,High,App Promotion,v2.3.1,0.87
5469,2026-01-28,0.1816,Low,0.2013,0.4834,1783.75,Low,Engagement Campaign,v2.3.1,0.77
5470,2026-01-28,0.1856,Low,0.2362,0.3184,4628.2,Medium,Engagement Campaign,v2.3.1,0.72
5471,2026-01-28,0.0576,Low,0.4683,0.5137,6217.79,Medium,Survey,v2.3.1,0.7
5472,2026-01-28,0.1823,Low,0.3096,0.1136,2882.81,Medium,Referral Program,v2.3.1,0.85
5473,2026-01-28,0.242,Low,0.2252,0.5328,1354.18,Low,Survey,v2.3.1,0.72
5474,2026-01-28,0.1682,Low,0.2801,0.1547,14125.35,High,Survey,v2.3.1,0.84
5475,2026-01-28,0.1201,Low,0.2959,0.4977,24416.79,High,Referral Program,v2.3.1,0.79
5476,2026-01-28,0.1675,Low,0.3971,0.3822,4518.49,Medium,Referral Program,v2.3.1,0.94
5477,2026-01-28,0.95,High,0.05,0.3097,2440.12,Medium,Loyalty Reward,v2.3.1,0.95
5478,2026-01-28,0.2313,Low,0.3076,0.3841,2155.06,Medium,App Promotion,v2.3.1,0.89
5479,2026-01-28,0.3135,Medium,0.1438,0.3312,4175.42,Medium,Engagement Campaign,v2.3.1,0.94
5480,2026-01-28,0.0552,Low,0.3432,0.4159,3651.87,Medium,Engagement Campaign,v2.3.1,0.74
5481,2026-01-28,0.0579,Low,0.577,0.2962,3595.92,Medium,Plan Upgrade,v2.3.1,0.74
5482,2026-01-28,0.0608,Low,0.4601,0.3986,1703.81,Low,Referral Program,v2.3.1,0.74
5483,2026-01-28,0.0765,Low,0.3526,0.5498,571.08,Low,Survey,v2.3.1,0.75
5484,2026-01-28,0.4217,Medium,0.05,0.4775,2716.77,Medium,Engagement Campaign,v2.3.1,0.84
5485,2026-01-28,0.1639,Low,0.3779,0.5413,14062.12,High,App Promotion,v2.3.1,0.75
5486,2026-01-28,0.2034,Low,0.2793,0.4583,1724.26,Low,Referral Program,v2.3.1,0.76
5487,2026-01-28,0.02,Low,0.5327,0.5384,4190.74,Medium,Plan Upgrade,v2.3.1,0.82
5488,2026-01-28,0.02,Low,0.3886,0.1127,4582.09,Medium,Engagement Campaign,v2.3.1,0.7
5489,2026-01-28,0.1173,Low,0.4222,0.1156,910.38,Low,Referral Program,v2.3.1,0.93
5490,2026-01-28,0.95,High,0.05,0.1961,1656.92,Low,Retention Offer,v2.3.1,0.83
5491,2026-01-28,0.0616,Low,0.4415,0.3328,3631.36,Medium,Survey,v2.3.1,0.83
5492,2026-01-28,0.02,Low,0.4966,0.3677,26214.02,High,Engagement Campaign,v2.3.1,0.79
5493,2026-01-28,0.02,Low,0.5408,0.3239,15932.95,High,5G Upgrade,v2.3.1,0.88
5494,2026-01-28,0.2598,Medium,0.3605,0.1469,4205.75,Medium,App Promotion,v2.3.1,0.78
5495,2026-01-28,0.0542,Low,0.3001,0.1911,2867.6,Medium,Engagement Campaign,v2.3.1,0.86
5496,2026-01-28,0.1474,Low,0.2409,0.3738,1272.88,Low,Engagement Campaign,v2.3.1,0.8
5497,2026-01-28,0.1381,Low,0.4888,0.5169,3499.76,Medium,Survey,v2.3.1,0.9
5498,2026-01-28,0.0504,Low,0.3223,0.4797,4187.25,Medium,Survey,v2.3.1,0.76
5499,2026-01-28,0.95,High,0.05,0.3372,265.53,Low,Service Recovery,v2.3.1,0.77
5500,2026-01-28,0.95,High,0.05,0.1558,15489.76,High,Loyalty Reward,v2.3.1,0.71
5501,2026-01-28,0.1627,Low,0.4865,0.2801,3687.24,Medium,Survey,v2.3.1,0.7
5502,2026-01-28,0.2826,Medium,0.3304,0.4987,2973.67,Medium,App Promotion,v2.3.1,0.76
5503,2026-01-28,0.1372,Low,0.2703,0.2705,2412.02,Medium,Engagement Campaign,v2.3.1,0.94
5504,2026-01-28,0.95,High,0.05,0.5598,633.98,Low,Service Recovery,v2.3.1,0.78
5505,2026-01-28,0.1562,Low,0.4647,0.5485,1673.17,Low,Engagement Campaign,v2.3.1,0.9
5506,2026-01-28,0.1386,Low,0.4021,0.526,4247.39,Medium,App Promotion,v2.3.1,0.88
5507,2026-01-28,0.1447,Low,0.2723,0.2741,1310.01,Low,App Promotion,v2.3.1,0.84
5508,2026-01-28,0.1567,Low,0.482,0.397,1662.6,Low,App Promotion,v2.3.1,0.82
5509,2026-01-28,0.1282,Low,0.3506,0.5648,1368.79,Low,Referral Program,v2.3.1,0.8
5510,2026-01-28,0.95,High,0.05,0.494,757.42,Low,Personal Call,v2.3.1,0.78
5511,2026-01-28,0.1546,Low,0.3564,0.244,1254.42,Low,App Promotion,v2.3.1,0.73
5512,2026-01-28,0.1632,Low,0.3108,0.2142,1073.7,Low,Referral Program,v2.3.1,0.94
5513,2026-01-28,0.0572,Low,0.4914,0.2716,10345.29,High,Referral Program,v2.3.1,0.81
5514,2026-01-28,0.2306,Low,0.1911,0.5585,952.04,Low,App Promotion,v2.3.1,0.8
5515,2026-01-28,0.02,Low,0.4696,0.3919,4715.28,Medium,Survey,v2.3.1,0.91
5516,2026-01-28,0.0904,Low,0.3544,0.2388,3679.79,Medium,Engagement Campaign,v2.3.1,0.74
5517,2026-01-28,0.1081,Low,0.3591,0.1028,186481.55,High,Referral Program,v2.3.1,0.94
5518,2026-01-28,0.2154,Low,0.2829,0.2887,14936.82,High,App Promotion,v2.3.1,0.77
5519,2026-01-28,0.0448,Low,0.3093,0.5524,27767.51,High,Survey,v2.3.1,0.87
5520,2026-01-28,0.1472,Low,0.4275,0.2714,4290.02,Medium,App Promotion,v2.3.1,0.9
5521,2026-01-28,0.1079,Low,0.34,0.4631,3485.46,Medium,Engagement Campaign,v2.3.1,0.92
5522,2026-01-28,0.95,High,0.05,0.2109,1719.87,Low,Personal Call,v2.3.1,0.94
5523,2026-01-28,0.2475,Low,0.3702,0.5774,3943.52,Medium,Engagement Campaign,v2.3.1,0.87
5524,2026-01-28,0.0514,Low,0.415,0.2239,15663.73,High,Survey,v2.3.1,0.88
5525,2026-01-28,0.133,Low,0.242,0.4034,1350.51,Low,Survey,v2.3.1,0.76
5526,2026-01-28,0.3735,Medium,0.05,0.3605,12727.92,High,Referral Program,v2.3.1,0.76
5527,2026-01-28,0.0986,Low,0.4269,0.5168,6339.24,Medium,App Promotion,v2.3.1,0.76
5528,2026-01-28,0.95,High,0.05,0.5786,15324.58,High,Loyalty Reward,v2.3.1,0.73
5529,2026-01-28,0.1546,Low,0.3802,0.5144,774.39,Low,App Promotion,v2.3.1,0.8
5530,2026-01-28,0.1044,Low,0.3902,0.2101,1082.03,Low,Engagement Campaign,v2.3.1,0.89
5531,2026-01-28,0.95,High,0.05,0.3364,1563.3,Low,Loyalty Reward,v2.3.1,0.95
5532,2026-01-28,0.0953,Low,0.4334,0.4218,22401.47,High,Survey,v2.3.1,0.72
5533,2026-01-28,0.0845,Low,0.4997,0.3233,4735.2,Medium,Engagement Campaign,v2.3.1,0.77
5534,2026-01-28,0.2875,Medium,0.3255,0.5512,2890.17,Medium,Engagement Campaign,v2.3.1,0.94
5535,2026-01-28,0.2083,Low,0.178,0.5804,26512.48,High,Survey,v2.3.1,0.9
5536,2026-01-28,0.1522,Low,0.4629,0.1182,18228.29,High,Survey,v2.3.1,0.8
5537,2026-01-28,0.95,High,0.05,0.5448,617.43,Low,Service Recovery,v2.3.1,0.8
5538,2026-01-28,0.95,High,0.05,0.435,2556.56,Medium,Loyalty Reward,v2.3.1,0.85
5539,2026-01-28,0.067,Low,0.3342,0.187,12715.99,High,Engagement Campaign,v2.3.1,0.93
5540,2026-01-28,0.169,Low,0.2504,0.458,3717.26,Medium,Engagement Campaign,v2.3.1,0.71
5541,2026-01-28,0.032,Low,0.5405,0.5209,26056.88,High,Plan Upgrade,v2.3.1,0.82
5542,2026-01-28,0.1483,Low,0.22,0.2261,17714.07,High,Survey,v2.3.1,0.87
5543,2026-01-28,0.1163,Low,0.4632,0.1822,1752.11,Low,Engagement Campaign,v2.3.1,0.85
5544,2026-01-28,0.2719,Medium,0.3684,0.1347,3534.83,Medium,App Promotion,v2.3.1,0.82
5545,2026-01-28,0.1041,Low,0.439,0.269,3490.14,Medium,App Promotion,v2.3.1,0.71
5546,2026-01-28,0.95,High,0.05,0.5101,795.3,Low,Personal Call,v2.3.1,0.9
5547,2026-01-28,0.094,Low,0.4822,0.4978,19992.23,High,Engagement Campaign,v2.3.1,0.93
5548,2026-01-28,0.2163,Low,0.3193,0.59,4361.35,Medium,Engagement Campaign,v2.3.1,0.79
5549,2026-01-28,0.02,Low,0.4726,0.2835,953.9,Low,Survey,v2.3.1,0.9
5550,2026-01-28,0.3728,Medium,0.05,0.1478,2994.5,Medium,Referral Program,v2.3.1,0.71
5551,2026-01-28,0.95,High,0.05,0.3804,2191.21,Medium,Loyalty Reward,v2.3.1,0.89
5552,2026-01-28,0.0227,Low,0.513,0.4244,22457.71,High,Plan Upgrade,v2.3.1,0.87
5553,2026-01-28,0.1914,Low,0.3466,0.4727,4510.15,Medium,Engagement Campaign,v2.3.1,0.9
5554,2026-01-28,0.086,Low,0.3464,0.5861,4011.17,Medium,Engagement Campaign,v2.3.1,0.9
5555,2026-01-28,0.2466,Low,0.2782,0.3031,2142.6,Medium,Engagement Campaign,v2.3.1,0.88
5556,2026-01-28,0.1969,Low,0.1591,0.11,4495.21,Medium,Referral Program,v2.3.1,0.91
5557,2026-01-28,0.1239,Low,0.3732,0.2581,156854.57,High,Engagement Campaign,v2.3.1,0.9
5558,2026-01-28,0.091,Low,0.5187,0.1559,4714.97,Medium,Device Offer,v2.3.1,0.86
5559,2026-01-28,0.1961,Low,0.1984,0.2265,7184.3,Medium,Engagement Campaign,v2.3.1,0.74
5560,2026-01-28,0.02,Low,0.4512,0.2969,1289.76,Low,Referral Program,v2.3.1,0.7
5561,2026-01-28,0.02,Low,0.3877,0.5748,871.16,Low,Referral Program,v2.3.1,0.85
5562,2026-01-28,0.1868,Low,0.1987,0.5544,992.87,Low,Engagement Campaign,v2.3.1,0.86
5563,2026-01-28,0.2977,Medium,0.3332,0.5121,2049.01,Medium,Engagement Campaign,v2.3.1,0.91
5564,2026-01-28,0.1732,Low,0.1983,0.1345,3283.3,Medium,Survey,v2.3.1,0.91
5565,2026-01-28,0.1321,Low,0.2962,0.3402,2670.05,Medium,App Promotion,v2.3.1,0.71
5566,2026-01-28,0.0796,Low,0.3068,0.1671,3869.44,Medium,App Promotion,v2.3.1,0.87
5567,2026-01-28,0.1933,Low,0.1616,0.1273,5917.14,Medium,Referral Program,v2.3.1,0.88
5568,2026-01-28,0.082,Low,0.4001,0.2786,1574.76,Low,App Promotion,v2.3.1,0.71
5569,2026-01-28,0.083,Low,0.2974,0.5582,913.69,Low,App Promotion,v2.3.1,0.7
5570,2026-01-28,0.2445,Low,0.2861,0.1203,21475.43,High,Engagement Campaign,v2.3.1,0.87
5571,2026-01-28,0.2439,Low,0.2492,0.4152,3462.5,Medium,Engagement Campaign,v2.3.1,0.85
5572,2026-01-28,0.0407,Low,0.3313,0.4663,82131.39,High,Referral Program,v2.3.1,0.74
5573,2026-01-28,0.1676,Low,0.3701,0.3731,2655.75,Medium,App Promotion,v2.3.1,0.87
5574,2026-01-28,0.2085,Low,0.2581,0.5164,766.63,Low,Referral Program,v2.3.1,0.94
5575,2026-01-28,0.1348,Low,0.2661,0.3631,11248.68,High,Survey,v2.3.1,0.92
5576,2026-01-28,0.1126,Low,0.3513,0.1711,496.1,Low,App Promotion,v2.3.1,0.85
5577,2026-01-28,0.02,Low,0.3374,0.4988,727.13,Low,App Promotion,v2.3.1,0.86
5578,2026-01-28,0.133,Low,0.3527,0.3925,4326.21,Medium,Survey,v2.3.1,0.8
5579,2026-01-28,0.1102,Low,0.2506,0.2877,11182.79,High,App Promotion,v2.3.1,0.78
5580,2026-01-28,0.2826,Medium,0.1769,0.1187,665.36,Low,App Promotion,v2.3.1,0.79
5581,2026-01-28,0.1222,Low,0.3568,0.2029,485.5,Low,Survey,v2.3.1,0.92
5582,2026-01-28,0.1186,Low,0.2522,0.2593,13996.94,High,Referral Program,v2.3.1,0.86
5583,2026-01-28,0.2054,Low,0.2354,0.4072,2271.76,Medium,App Promotion,v2.3.1,0.92
5584,2026-01-28,0.0895,Low,0.5143,0.5831,1837.65,Low,Plan Upgrade,v2.3.1,0.86
5585,2026-01-28,0.2477,Low,0.1485,0.2449,3442.64,Medium,App Promotion,v2.3.1,0.84
5586,2026-01-28,0.235,Low,0.3934,0.4765,873.93,Low,Referral Program,v2.3.1,0.9
5587,2026-01-28,0.251,Medium,0.3175,0.347,3837.85,Medium,Referral Program,v2.3.1,0.92
5588,2026-01-28,0.0483,Low,0.4162,0.1331,4071.69,Medium,Engagement Campaign,v2.3.1,0.92
5589,2026-01-28,0.133,Low,0.4434,0.5615,22189.63,High,Referral Program,v2.3.1,0.84
5590,2026-01-28,0.02,Low,0.4964,0.4887,2627.73,Medium,Survey,v2.3.1,0.7
5591,2026-01-28,0.1147,Low,0.4136,0.5837,136482.5,High,App Promotion,v2.3.1,0.86
5592,2026-01-28,0.2433,Low,0.1493,0.1299,1403.49,Low,Engagement Campaign,v2.3.1,0.89
5593,2026-01-28,0.02,Low,0.6279,0.3714,2727.25,Medium,Device Offer,v2.3.1,0.82
5594,2026-01-28,0.1738,Low,0.1784,0.41,2910.43,Medium,App Promotion,v2.3.1,0.8
5595,2026-01-28,0.044,Low,0.4378,0.3862,13268.05,High,App Promotion,v2.3.1,0.9
5596,2026-01-28,0.1563,Low,0.3837,0.5641,1692.54,Low,Survey,v2.3.1,0.79
5597,2026-01-28,0.0735,Low,0.5262,0.2301,15364.93,High,Add-on Service,v2.3.1,0.92
5598,2026-01-28,0.2013,Low,0.2672,0.1387,2578.09,Medium,Survey,v2.3.1,0.87
5599,2026-01-28,0.1183,Low,0.4894,0.3736,575.59,Low,Survey,v2.3.1,0.89
5600,2026-01-28,0.072,Low,0.4766,0.1852,4651.29,Medium,Survey,v2.3.1,0.85
5601,2026-01-28,0.02,Low,0.5647,0.4277,1748.61,Low,5G Upgrade,v2.3.1,0.85
5602,2026-01-28,0.0956,Low,0.2666,0.1674,4015.48,Medium,Engagement Campaign,v2.3.1,0.94
5603,2026-01-28,0.2339,Low,0.2439,0.4236,4386.24,Medium,Referral Program,v2.3.1,0.74
5604,2026-01-28,0.0595,Low,0.4284,0.5786,12174.48,High,Survey,v2.3.1,0.8
5605,2026-01-28,0.1576,Low,0.2683,0.2302,2697.82,Medium,Referral Program,v2.3.1,0.81
5606,2026-01-28,0.1533,Low,0.4026,0.2015,1159.88,Low,Engagement Campaign,v2.3.1,0.92
5607,2026-01-28,0.0411,Low,0.4106,0.2602,498.56,Low,Engagement Campaign,v2.3.1,0.92
5608,2026-01-28,0.1373,Low,0.2856,0.2781,4123.74,Medium,Engagement Campaign,v2.3.1,0.86
5609,2026-01-28,0.02,Low,0.4382,0.2224,2517.68,Medium,Engagement Campaign,v2.3.1,0.81
5610,2026-01-28,0.1106,Low,0.2579,0.1173,706.68,Low,Engagement Campaign,v2.3.1,0.79
5611,2026-01-28,0.0413,Low,0.5863,0.1562,4885.31,Medium,Plan Upgrade,v2.3.1,0.7
5612,2026-01-28,0.3167,Medium,0.2148,0.43,1284.94,Low,Survey,v2.3.1,0.91
5613,2026-01-28,0.0712,Low,0.3847,0.5082,10893.25,High,App Promotion,v2.3.1,0.84
5614,2026-01-28,0.1928,Low,0.4405,0.1626,12391.4,High,Survey,v2.3.1,0.94
5615,2026-01-28,0.2539,Medium,0.2425,0.1074,1432.61,Low,Referral Program,v2.3.1,0.92
5616,2026-01-28,0.1618,Low,0.3697,0.5789,1914.69,Low,Engagement Campaign,v2.3.1,0.79
5617,2026-01-28,0.2415,Low,0.352,0.2906,2553.75,Medium,Engagement Campaign,v2.3.1,0.79
5618,2026-01-28,0.0619,Low,0.3419,0.3843,1349.97,Low,App Promotion,v2.3.1,0.77
5619,2026-01-28,0.0531,Low,0.3443,0.2701,2141.88,Medium,Survey,v2.3.1,0.9
5620,2026-01-28,0.1018,Low,0.3872,0.2168,799.28,Low,Engagement Campaign,v2.3.1,0.8
5621,2026-01-28,0.3474,Medium,0.05,0.5381,11383.82,High,Survey,v2.3.1,0.75
5622,2026-01-28,0.95,High,0.05,0.4104,865.0,Low,Loyalty Reward,v2.3.1,0.89
5623,2026-01-28,0.3449,Medium,0.05,0.4184,3361.23,Medium,Survey,v2.3.1,0.89
5624,2026-01-28,0.02,Low,0.587,0.343,3682.19,Medium,Device Offer,v2.3.1,0.81
5625,2026-01-28,0.0585,Low,0.5013,0.2859,2999.08,Medium,Add-on Service,v2.3.1,0.77
5626,2026-01-28,0.1319,Low,0.4761,0.2246,3320.17,Medium,Engagement Campaign,v2.3.1,0.73
5627,2026-01-28,0.0819,Low,0.3075,0.3613,1551.67,Low,Referral Program,v2.3.1,0.77
5628,2026-01-28,0.02,Low,0.356,0.1909,106308.4,High,Engagement Campaign,v2.3.1,0.88
5629,2026-01-28,0.0457,Low,0.5945,0.2302,170261.56,High,Add-on Service,v2.3.1,0.94
5630,2026-01-28,0.2442,Low,0.193,0.2238,993.52,Low,Engagement Campaign,v2.3.1,0.9
5631,2026-01-28,0.0987,Low,0.5089,0.5709,2115.29,Medium,Add-on Service,v2.3.1,0.87
5632,2026-01-28,0.0451,Low,0.533,0.137,1967.88,Low,5G Upgrade,v2.3.1,0.84
5633,2026-01-28,0.0842,Low,0.2972,0.5084,1150.79,Low,App Promotion,v2.3.1,0.79
5634,2026-01-28,0.0584,Low,0.5805,0.103,10815.83,High,5G Upgrade,v2.3.1,0.71
5635,2026-01-28,0.0578,Low,0.3008,0.5083,20584.13,High,App Promotion,v2.3.1,0.75
5636,2026-01-28,0.1749,Low,0.4671,0.2358,3657.73,Medium,Referral Program,v2.3.1,0.77
5637,2026-01-28,0.1888,Low,0.3533,0.3952,2852.67,Medium,App Promotion,v2.3.1,0.73
5638,2026-01-28,0.0545,Low,0.3857,0.3344,3769.88,Medium,Survey,v2.3.1,0.93
5639,2026-01-28,0.1205,Low,0.2774,0.1052,20166.67,High,Engagement Campaign,v2.3.1,0.91
5640,2026-01-28,0.2355,Low,0.3436,0.304,3127.72,Medium,Engagement Campaign,v2.3.1,0.78
5641,2026-01-28,0.0492,Low,0.4129,0.1712,666.37,Low,Referral Program,v2.3.1,0.95
5642,2026-01-28,0.1412,Low,0.2193,0.4008,1513.08,Low,Engagement Campaign,v2.3.1,0.72
5643,2026-01-28,0.0537,Low,0.4323,0.2994,7499.38,Medium,Referral Program,v2.3.1,0.73
5644,2026-01-28,0.0433,Low,0.5259,0.5917,3163.84,Medium,Add-on Service,v2.3.1,0.87
5645,2026-01-28,0.1099,Low,0.4613,0.1732,184516.41,High,Referral Program,v2.3.1,0.85
5646,2026-01-28,0.0648,Low,0.4016,0.3662,23873.58,High,Referral Program,v2.3.1,0.84
5647,2026-01-28,0.1773,Low,0.3281,0.2227,2187.44,Medium,Survey,v2.3.1,0.77
5648,2026-01-28,0.2486,Low,0.1681,0.2319,2589.83,Medium,Referral Program,v2.3.1,0.88
5649,2026-01-28,0.2372,Low,0.1549,0.3258,1857.99,Low,App Promotion,v2.3.1,0.77
5650,2026-01-28,0.3375,Medium,0.094,0.4366,20008.66,High,Referral Program,v2.3.1,0.78
5651,2026-01-28,0.045,Low,0.3517,0.1431,1906.71,Low,Engagement Campaign,v2.3.1,0.77
5652,2026-01-28,0.146,Low,0.2508,0.3716,3481.89,Medium,Referral Program,v2.3.1,0.75
5653,2026-01-28,0.02,Low,0.6273,0.4972,25874.09,High,5G Upgrade,v2.3.1,0.82
5654,2026-01-28,0.036,Low,0.5591,0.4097,892.67,Low,Add-on Service,v2.3.1,0.73
5655,2026-01-28,0.02,Low,0.6046,0.2918,26314.82,High,5G Upgrade,v2.3.1,0.75
5656,2026-01-28,0.0838,Low,0.3208,0.1101,1395.18,Low,Survey,v2.3.1,0.93
5657,2026-01-28,0.02,Low,0.511,0.2169,97816.18,High,Add-on Service,v2.3.1,0.93
5658,2026-01-28,0.0534,Low,0.4062,0.4775,2473.57,Medium,Referral Program,v2.3.1,0.84
5659,2026-01-28,0.0951,Low,0.5338,0.2724,1193.23,Low,Add-on Service,v2.3.1,0.92
5660,2026-01-28,0.021,Low,0.4647,0.5712,4879.6,Medium,Engagement Campaign,v2.3.1,0.85
5661,2026-01-28,0.02,Low,0.4898,0.4878,20959.87,High,Engagement Campaign,v2.3.1,0.89
5662,2026-01-28,0.2832,Medium,0.0812,0.3433,4025.06,Medium,Referral Program,v2.3.1,0.76
5663,2026-01-28,0.2649,Medium,0.0858,0.1621,2376.28,Medium,Survey,v2.3.1,0.88
5664,2026-01-28,0.1526,Low,0.2295,0.4409,26832.63,High,App Promotion,v2.3.1,0.75
5665,2026-01-28,0.1471,Low,0.3062,0.457,2645.21,Medium,Engagement Campaign,v2.3.1,0.77
5666,2026-01-28,0.1942,Low,0.225,0.5632,14447.94,High,App Promotion,v2.3.1,0.89
5667,2026-01-28,0.094,Low,0.2839,0.4554,22281.78,High,Engagement Campaign,v2.3.1,0.84
5668,2026-01-28,0.95,High,0.05,0.4658,705.57,Low,Loyalty Reward,v2.3.1,0.93
5669,2026-01-28,0.1041,Low,0.3391,0.1474,854.42,Low,Survey,v2.3.1,0.85
5670,2026-01-28,0.1098,Low,0.4265,0.2794,1567.61,Low,Referral Program,v2.3.1,0.91
5671,2026-01-28,0.02,Low,0.4173,0.4724,4515.79,Medium,Survey,v2.3.1,0.83
5672,2026-01-28,0.02,Low,0.3453,0.5911,2026.76,Medium,Engagement Campaign,v2.3.1,0.94
5673,2026-01-28,0.1755,Low,0.1768,0.3462,4124.0,Medium,App Promotion,v2.3.1,0.9
5674,2026-01-28,0.3474,Medium,0.0542,0.274,3556.41,Medium,Referral Program,v2.3.1,0.94
5675,2026-01-28,0.1075,Low,0.246,0.1201,1950.52,Low,Referral Program,v2.3.1,0.77
5676,2026-01-28,0.079,Low,0.5688,0.3368,4067.16,Medium,Plan Upgrade,v2.3.1,0.93
5677,2026-01-28,0.0869,Low,0.3823,0.3005,4605.27,Medium,Survey,v2.3.1,0.91
5678,2026-01-28,0.95,High,0.05,0.1695,1020.41,Low,Retention Offer,v2.3.1,0.81
5679,2026-01-28,0.1136,Low,0.3752,0.1838,2505.21,Medium,Survey,v2.3.1,0.78
5680,2026-01-28,0.02,Low,0.345,0.1371,19682.99,High,Referral Program,v2.3.1,0.91
5681,2026-01-28,0.2427,Low,0.1084,0.431,3071.6,Medium,Engagement Campaign,v2.3.1,0.93
5682,2026-01-28,0.1415,Low,0.4542,0.3149,643.95,Low,Engagement Campaign,v2.3.1,0.74
5683,2026-01-28,0.0773,Low,0.5408,0.553,3575.09,Medium,Plan Upgrade,v2.3.1,0.7
5684,2026-01-28,0.0727,Low,0.2975,0.4973,8024.5,Medium,App Promotion,v2.3.1,0.88
5685,2026-01-28,0.0345,Low,0.3489,0.4207,11174.92,High,Referral Program,v2.3.1,0.87
5686,2026-01-28,0.95,High,0.05,0.5859,1487.99,Low,Personal Call,v2.3.1,0.78
5687,2026-01-28,0.1963,Low,0.283,0.5296,1590.24,Low,Survey,v2.3.1,0.7
5688,2026-01-28,0.0808,Low,0.5107,0.1371,3343.37,Medium,Device Offer,v2.3.1,0.83
5689,2026-01-28,0.95,High,0.05,0.4807,2369.96,Medium,Personal Call,v2.3.1,0.8
5690,2026-01-28,0.0992,Low,0.3128,0.2388,16558.59,High,Referral Program,v2.3.1,0.93
5691,2026-01-28,0.1711,Low,0.39,0.1245,4069.8,Medium,Engagement Campaign,v2.3.1,0.75
5692,2026-01-28,0.111,Low,0.3321,0.1368,16853.22,High,Engagement Campaign,v2.3.1,0.82
5693,2026-01-28,0.0372,Low,0.5133,0.4896,1162.97,Low,Device Offer,v2.3.1,0.81
5694,2026-01-28,0.95,High,0.05,0.1203,55814.28,High,Retention Offer,v2.3.1,0.7
5695,2026-01-28,0.1573,Low,0.3773,0.1,4061.81,Medium,Survey,v2.3.1,0.94
5696,2026-01-28,0.0605,Low,0.5476,0.238,1276.11,Low,5G Upgrade,v2.3.1,0.75
5697,2026-01-28,0.02,Low,0.5944,0.2569,2052.15,Medium,Plan Upgrade,v2.3.1,0.92
5698,2026-01-28,0.1865,Low,0.1737,0.2651,2484.6,Medium,App Promotion,v2.3.1,0.72
5699,2026-01-28,0.1693,Low,0.2401,0.2394,3465.91,Medium,Engagement Campaign,v2.3.1,0.71
5700,2026-01-28,0.02,Low,0.493,0.3128,102008.76,High,Survey,v2.3.1,0.95
5701,2026-01-28,0.1576,Low,0.421,0.4642,4590.87,Medium,Survey,v2.3.1,0.83
5702,2026-01-28,0.1511,Low,0.3766,0.2813,681.99,Low,Engagement Campaign,v2.3.1,0.88
5703,2026-01-28,0.0526,Low,0.3249,0.5745,74370.53,High,App Promotion,v2.3.1,0.89
5704,2026-01-28,0.2274,Low,0.2729,0.5562,10641.45,High,Survey,v2.3.1,0.9
5705,2026-01-28,0.0526,Low,0.4551,0.4751,13352.91,High,Referral Program,v2.3.1,0.94
5706,2026-01-28,0.0609,Low,0.3964,0.3796,13703.51,High,Engagement Campaign,v2.3.1,0.86
5707,2026-01-28,0.3782,Medium,0.05,0.3838,1522.53,Low,Engagement Campaign,v2.3.1,0.91
5708,2026-01-28,0.1359,Low,0.3545,0.3644,1240.08,Low,Survey,v2.3.1,0.92
5709,2026-01-28,0.2071,Low,0.3857,0.5611,2306.44,Medium,Survey,v2.3.1,0.78
