record_id,site_id,measurement_date,energy_kwh,renewable_kwh,grid_kwh,renewable_pct,carbon_emissions_kg,pue_ratio,cooling_kwh,equipment_kwh
6134,434,2025-03-26,117.42,46.16,71.27,39.3,14.25,1.44,43.36,69.1
6135,435,2025-03-26,91.24,41.45,49.79,45.4,9.96,1.56,25.86,63.63
6136,436,2025-03-26,108.38,44.8,63.59,41.3,12.72,1.53,38.99,61.21
6137,437,2025-03-26,276.8,116.2,160.59,42.0,32.12,1.49,79.12,167.4
6138,438,2025-03-26,840.74,354.45,486.3,42.2,97.26,1.41,249.35,543.71
6139,439,2025-03-26,196.59,77.4,119.19,39.4,23.84,1.32,42.31,99.89
6140,440,2025-03-26,208.16,84.53,123.63,40.6,24.73,1.6,46.67,141.74
6141,441,2025-03-26,799.73,372.15,427.57,46.5,85.51,1.77,192.94,415.91
6142,442,2025-03-26,1119.82,443.87,675.95,39.6,135.19,1.53,378.94,621.38
6143,443,2025-03-26,1148.86,520.24,628.63,45.3,125.73,1.74,343.91,776.35
6144,444,2025-03-26,419.04,171.05,248.0,40.8,49.6,1.37,131.38,285.22
6145,445,2025-03-26,1125.25,497.44,627.81,44.2,125.56,1.51,318.85,753.59
6146,446,2025-03-26,1056.86,420.23,636.63,39.8,127.33,1.39,365.22,720.93
6147,447,2025-03-26,1428.25,583.77,844.48,40.9,168.9,1.66,416.22,728.64
6148,448,2025-03-26,161.87,67.55,94.32,41.7,18.86,1.46,43.35,94.49
6149,449,2025-03-26,221.21,93.83,127.37,42.4,25.47,1.42,48.25,125.41
6150,450,2025-03-26,1101.41,433.6,667.82,39.4,133.56,1.79,238.92,658.62
6151,451,2025-03-26,300.84,139.9,160.95,46.5,32.19,1.45,116.3,201.89
6152,452,2025-03-26,380.95,185.3,195.66,48.6,39.13,1.76,112.91,218.45
6153,453,2025-03-26,101.67,41.36,60.31,40.7,12.06,1.64,21.23,53.85
6154,454,2025-03-26,146.61,70.96,75.65,48.4,15.13,1.54,42.5,102.46
6155,455,2025-03-26,1556.96,726.8,830.15,46.7,166.03,1.73,446.72,1000.99
6156,456,2025-03-26,977.09,420.64,556.45,43.1,111.29,1.65,224.48,525.96
6157,457,2025-03-26,207.17,91.05,116.12,44.0,23.22,1.53,53.31,110.87
6158,458,2025-03-26,428.31,203.11,225.2,47.4,45.04,1.63,130.44,272.96
6159,459,2025-03-26,303.04,148.49,154.55,49.0,30.91,1.36,85.31,165.02
6160,460,2025-03-26,850.25,363.43,486.82,42.7,97.36,1.62,203.09,485.1
6161,461,2025-03-26,1412.39,660.44,751.95,46.8,150.39,1.69,458.53,883.75
6162,462,2025-03-26,917.4,367.16,550.23,40.0,110.05,1.75,212.86,633.55
6163,463,2025-03-26,1255.03,496.93,758.1,39.6,151.62,1.65,429.92,873.01
6164,464,2025-03-26,851.15,355.64,495.5,41.8,99.1,1.54,211.12,453.76
6165,465,2025-03-26,112.26,45.9,66.36,40.9,13.27,1.43,31.47,62.55
6166,466,2025-03-26,1030.59,504.71,525.88,49.0,105.18,1.53,287.31,627.91
6167,467,2025-03-26,959.08,427.65,531.43,44.6,106.29,1.35,377.93,564.56
6168,468,2025-03-26,248.55,113.63,134.92,45.7,26.98,1.36,86.02,138.74
6169,469,2025-03-26,227.46,89.46,138.01,39.3,27.6,1.74,48.28,122.27
6170,470,2025-03-26,1179.61,564.83,614.77,47.9,122.95,1.46,263.12,802.57
6171,471,2025-03-26,143.95,70.16,73.78,48.7,14.76,1.45,30.09,73.93
6172,472,2025-03-26,217.83,96.48,121.35,44.3,24.27,1.45,58.88,125.77
6173,473,2025-03-26,1075.59,499.91,575.67,46.5,115.13,1.67,245.59,627.88
6174,474,2025-03-26,193.53,94.71,98.82,48.9,19.76,1.59,70.95,134.82
6175,475,2025-03-26,1029.32,427.54,601.78,41.5,120.36,1.8,207.75,649.11
6176,1,2025-04-02,237.39,98.96,138.43,41.7,27.69,1.8,59.97,137.58
6177,2,2025-04-02,297.68,138.69,158.98,46.6,31.8,1.49,102.88,163.3
6178,3,2025-04-02,768.27,324.19,444.07,42.2,88.81,1.75,198.36,392.9
6179,4,2025-04-02,222.09,98.56,123.53,44.4,24.71,1.37,88.29,134.24
6180,5,2025-04-02,1150.45,562.8,587.65,48.9,117.53,1.53,456.14,702.62
6181,6,2025-04-02,1242.46,531.33,711.13,42.8,142.23,1.62,396.86,794.1
6182,7,2025-04-02,192.78,84.09,108.69,43.6,21.74,1.7,40.28,126.65
6183,8,2025-04-02,445.66,182.8,262.86,41.0,52.57,1.76,147.49,268.79
6184,9,2025-04-02,101.23,47.93,53.3,47.3,10.66,1.6,25.59,65.79
6185,10,2025-04-02,50.57,20.1,30.47,39.8,6.09,1.31,20.02,27.04
6186,11,2025-04-02,916.77,439.89,476.88,48.0,95.38,1.5,200.15,496.71
6187,12,2025-04-02,250.52,122.03,128.49,48.7,25.7,1.46,68.29,135.1
6188,13,2025-04-02,1280.81,538.55,742.26,42.0,148.45,1.32,275.16,864.12
6189,14,2025-04-02,267.23,128.95,138.28,48.3,27.66,1.61,62.82,148.14
6190,15,2025-04-02,1383.46,553.74,829.71,40.0,165.94,1.55,405.34,788.68
6191,16,2025-04-02,156.81,72.0,84.81,45.9,16.96,1.58,45.64,98.27
6192,17,2025-04-02,305.93,138.36,167.57,45.2,33.51,1.37,117.69,211.06
6193,18,2025-04-02,339.46,156.01,183.45,46.0,36.69,1.34,119.12,227.14
6194,19,2025-04-02,107.21,52.32,54.89,48.8,10.98,1.67,28.68,58.33
6195,20,2025-04-02,846.6,396.51,450.09,46.8,90.02,1.31,192.15,547.12
6196,21,2025-04-02,150.49,70.06,80.43,46.6,16.09,1.73,58.78,97.94
6197,22,2025-04-02,125.63,59.51,66.13,47.4,13.23,1.68,33.97,80.02
6198,23,2025-04-02,390.52,182.43,208.09,46.7,41.62,1.37,143.42,236.3
6199,24,2025-04-02,1095.81,454.34,641.47,41.5,128.29,1.79,343.35,716.11
6200,25,2025-04-02,189.9,83.75,106.15,44.1,21.23,1.57,57.27,105.72
6201,26,2025-04-02,238.73,117.91,120.82,49.4,24.16,1.77,56.85,150.27
6202,27,2025-04-02,958.27,393.43,564.84,41.1,112.97,1.41,284.27,535.98
6203,28,2025-04-02,1326.6,569.05,757.55,42.9,151.51,1.43,396.76,721.35
6204,29,2025-04-02,223.15,106.81,116.34,47.9,23.27,1.63,79.37,147.26
6205,30,2025-04-02,1112.05,483.11,628.94,43.4,125.79,1.59,370.74,637.83
6206,31,2025-04-02,104.18,50.13,54.05,48.1,10.81,1.36,35.85,52.44
6207,32,2025-04-02,508.02,250.86,257.16,49.4,51.43,1.63,108.96,298.39
6208,33,2025-04-02,69.17,27.91,41.26,40.4,8.25,1.73,16.74,39.13
6209,34,2025-04-02,1493.68,675.36,818.32,45.2,163.66,1.32,521.23,970.58
6210,35,2025-04-02,486.02,194.9,291.11,40.1,58.22,1.46,194.04,315.44
6211,36,2025-04-02,281.62,113.26,168.36,40.2,33.67,1.36,89.57,146.02
6212,37,2025-04-02,145.55,59.57,85.98,40.9,17.2,1.48,55.82,73.81
6213,38,2025-04-02,63.39,28.33,35.06,44.7,7.01,1.62,22.51,42.61
6214,39,2025-04-02,200.71,96.85,103.86,48.3,20.77,1.44,75.29,126.58
6215,40,2025-04-02,188.54,79.81,108.74,42.3,21.75,1.71,39.41,130.36
6216,41,2025-04-02,118.58,49.99,68.6,42.2,13.72,1.42,27.83,67.94
6217,42,2025-04-02,279.82,128.4,151.42,45.9,30.28,1.71,62.47,160.27
6218,43,2025-04-02,95.14,46.87,48.27,49.3,9.65,1.5,34.85,55.23
6219,44,2025-04-02,973.85,469.5,504.35,48.2,100.87,1.31,249.35,661.9
6220,45,2025-04-02,203.68,85.14,118.55,41.8,23.71,1.58,57.09,140.5
6221,46,2025-04-02,922.34,445.47,476.86,48.3,95.37,1.46,241.8,509.84
6222,47,2025-04-02,1296.37,517.33,779.04,39.9,155.81,1.75,505.81,836.14
6223,48,2025-04-02,145.08,67.73,77.35,46.7,15.47,1.59,38.8,97.03
6224,49,2025-04-02,354.24,143.41,210.83,40.5,42.17,1.31,132.55,223.18
6225,50,2025-04-02,65.6,28.32,37.28,43.2,7.46,1.5,23.33,38.35
6226,51,2025-04-02,430.91,204.7,226.21,47.5,45.24,1.73,159.15,223.36
6227,52,2025-04-02,493.78,202.46,291.32,41.0,58.26,1.42,143.34,319.18
6228,53,2025-04-02,128.89,55.22,73.67,42.8,14.73,1.74,46.05,83.68
6229,54,2025-04-02,1078.55,452.64,625.91,42.0,125.18,1.62,328.76,721.62
6230,55,2025-04-02,156.92,74.1,82.83,47.2,16.57,1.46,47.3,96.5
6231,56,2025-04-02,148.34,61.63,86.71,41.5,17.34,1.49,56.01,94.89
6232,57,2025-04-02,234.95,97.2,137.75,41.4,27.55,1.47,85.42,127.65
6233,58,2025-04-02,1022.11,428.8,593.31,42.0,118.66,1.53,371.84,589.5
6234,59,2025-04-02,1603.0,734.03,868.97,45.8,173.79,1.76,443.52,946.46
6235,60,2025-04-02,273.72,121.38,152.34,44.3,30.47,1.47,94.21,161.74
6236,61,2025-04-02,1454.07,659.82,794.25,45.4,158.85,1.75,336.27,1011.78
6237,62,2025-04-02,135.67,56.16,79.5,41.4,15.9,1.7,33.72,93.76
6238,63,2025-04-02,94.44,40.51,53.93,42.9,10.79,1.44,33.4,54.46
6239,64,2025-04-02,1105.32,453.46,651.86,41.0,130.37,1.38,359.28,638.51
6240,65,2025-04-02,69.13,28.16,40.96,40.7,8.19,1.72,22.09,41.41
6241,66,2025-04-02,151.33,72.04,79.3,47.6,15.86,1.69,36.59,105.6
6242,67,2025-04-02,64.42,30.19,34.23,46.9,6.85,1.42,20.74,45.09
6243,68,2025-04-02,233.81,93.03,140.78,39.8,28.16,1.59,68.98,152.45
6244,69,2025-04-02,258.64,108.55,150.09,42.0,30.02,1.34,80.33,155.84
6245,70,2025-04-02,875.45,433.46,441.98,49.5,88.4,1.54,343.45,495.63
6246,71,2025-04-02,146.52,61.36,85.16,41.9,17.03,1.4,55.24,81.82
6247,72,2025-04-02,270.3,129.57,140.73,47.9,28.15,1.51,77.22,159.0
6248,73,2025-04-02,866.4,375.94,490.45,43.4,98.09,1.43,174.99,472.87
6249,74,2025-04-02,1046.17,418.66,627.51,40.0,125.5,1.57,416.72,541.06
6250,75,2025-04-02,138.21,54.98,83.23,39.8,16.65,1.71,37.91,84.07
6251,76,2025-04-02,170.1,82.75,87.35,48.6,17.47,1.39,49.38,115.96
6252,77,2025-04-02,193.34,79.93,113.42,41.3,22.68,1.73,41.76,129.63
6253,78,2025-04-02,956.66,448.84,507.82,46.9,101.56,1.34,277.91,550.34
6254,79,2025-04-02,1061.65,439.09,622.57,41.4,124.51,1.32,284.78,612.2
6255,80,2025-04-02,1576.53,755.72,820.81,47.9,164.16,1.45,473.24,940.65
6256,81,2025-04-02,159.28,69.43,89.84,43.6,17.97,1.65,48.52,82.24
6257,82,2025-04-02,908.03,411.59,496.44,45.3,99.29,1.44,348.76,594.52
6258,83,2025-04-02,181.56,76.98,104.58,42.4,20.92,1.35,51.1,119.98
6259,84,2025-04-02,286.21,118.41,167.8,41.4,33.56,1.47,62.24,186.67
6260,85,2025-04-02,985.07,438.38,546.7,44.5,109.34,1.8,299.08,647.38
6261,86,2025-04-02,361.45,166.37,195.08,46.0,39.02,1.33,92.27,221.76
6262,87,2025-04-02,215.11,104.4,110.71,48.5,22.14,1.39,47.52,127.95
6263,88,2025-04-02,1097.44,491.14,606.31,44.8,121.26,1.5,285.0,675.35
6264,89,2025-04-02,457.87,226.69,231.18,49.5,46.24,1.77,178.27,263.28
6265,90,2025-04-02,1160.59,466.87,693.72,40.2,138.74,1.32,462.8,586.88
6266,91,2025-04-02,113.42,45.16,68.27,39.8,13.65,1.76,33.64,78.22
6267,92,2025-04-02,482.35,223.99,258.36,46.4,51.67,1.37,176.4,314.8
6268,93,2025-04-02,110.75,51.24,59.51,46.3,11.9,1.69,33.6,65.83
6269,94,2025-04-02,65.01,26.33,38.68,40.5,7.74,1.48,17.05,40.39
6270,95,2025-04-02,148.79,71.86,76.93,48.3,15.39,1.62,52.79,93.48
6271,96,2025-04-02,384.52,179.44,205.08,46.7,41.02,1.5,110.78,265.84
6272,97,2025-04-02,226.1,98.29,127.81,43.5,25.56,1.53,54.3,150.24
6273,98,2025-04-02,99.97,45.59,54.38,45.6,10.88,1.68,28.47,63.45
6274,99,2025-04-02,959.29,405.65,553.64,42.3,110.73,1.48,337.39,635.26
6275,100,2025-04-02,355.5,172.08,183.42,48.4,36.68,1.57,81.29,209.05
6276,101,2025-04-02,191.32,90.13,101.19,47.1,20.24,1.31,63.83,121.84
6277,102,2025-04-02,101.54,46.79,54.74,46.1,10.95,1.55,38.18,54.62
6278,103,2025-04-02,234.24,112.8,121.43,48.2,24.29,1.36,59.92,162.25
6279,104,2025-04-02,218.49,96.47,122.02,44.2,24.4,1.64,54.86,143.18
6280,105,2025-04-02,927.93,448.53,479.4,48.3,95.88,1.73,294.37,520.53
6281,106,2025-04-02,123.55,50.27,73.28,40.7,14.66,1.7,29.84,76.03
6282,107,2025-04-02,253.95,123.89,130.05,48.8,26.01,1.36,72.74,155.29
6283,108,2025-04-02,1208.53,505.85,702.68,41.9,140.54,1.39,457.38,688.44
6284,109,2025-04-02,1367.38,560.65,806.73,41.0,161.35,1.34,508.17,867.52
6285,110,2025-04-02,245.14,104.9,140.23,42.8,28.05,1.45,64.4,150.88
6286,111,2025-04-02,243.53,101.08,142.45,41.5,28.49,1.46,88.9,159.01
6287,112,2025-04-02,153.29,67.59,85.71,44.1,17.14,1.63,48.43,87.25
6288,113,2025-04-02,794.53,345.05,449.48,43.4,89.9,1.57,275.26,497.79
6289,114,2025-04-02,122.93,57.07,65.86,46.4,13.17,1.31,48.32,64.94
6290,115,2025-04-02,332.53,155.58,176.95,46.8,35.39,1.79,75.8,182.99
6291,116,2025-04-02,166.19,75.26,90.93,45.3,18.19,1.57,34.53,100.02
6292,117,2025-04-02,144.78,60.13,84.64,41.5,16.93,1.73,40.89,86.08
6293,118,2025-04-02,1422.15,579.11,843.04,40.7,168.61,1.44,547.9,820.13
6294,119,2025-04-02,256.74,113.28,143.46,44.1,28.69,1.61,83.81,167.44
6295,120,2025-04-02,923.81,456.69,467.12,49.4,93.42,1.55,232.95,634.06
6296,121,2025-04-02,240.11,114.06,126.04,47.5,25.21,1.76,86.88,125.41
6297,122,2025-04-02,454.25,213.27,240.98,46.9,48.2,1.32,112.56,315.42
6298,123,2025-04-02,225.97,96.56,129.41,42.7,25.88,1.48,71.39,139.88
6299,124,2025-04-02,287.08,133.71,153.37,46.6,30.67,1.63,84.4,194.34
6300,125,2025-04-02,61.71,27.81,33.9,45.1,6.78,1.51,16.62,32.28
6301,126,2025-04-02,277.23,127.4,149.82,46.0,29.96,1.77,90.1,178.79
6302,127,2025-04-02,1014.87,421.62,593.24,41.5,118.65,1.53,346.55,573.51
6303,128,2025-04-02,347.95,147.82,200.13,42.5,40.03,1.41,118.73,194.52
6304,129,2025-04-02,116.48,53.45,63.03,45.9,12.61,1.58,32.15,59.91
6305,130,2025-04-02,272.75,120.39,152.36,44.1,30.47,1.52,105.81,169.7
6306,131,2025-04-02,860.91,399.41,461.51,46.4,92.3,1.64,242.1,437.68
6307,132,2025-04-02,296.91,147.13,149.78,49.6,29.96,1.57,61.29,176.54
6308,133,2025-04-02,137.27,57.13,80.14,41.6,16.03,1.51,52.95,95.11
6309,134,2025-04-02,284.96,116.73,168.23,41.0,33.65,1.56,88.14,173.19
6310,135,2025-04-02,49.6,23.78,25.82,47.9,5.16,1.5,15.63,33.63
6311,136,2025-04-02,190.6,92.62,97.97,48.6,19.59,1.5,68.35,124.68
6312,137,2025-04-02,201.6,92.17,109.43,45.7,21.89,1.5,78.26,131.31
6313,138,2025-04-02,1153.49,500.29,653.2,43.4,130.64,1.54,344.54,706.76
6314,139,2025-04-02,289.99,119.48,170.51,41.2,34.1,1.66,110.69,192.3
6315,140,2025-04-02,145.47,70.7,74.77,48.6,14.95,1.57,32.53,85.62
6316,141,2025-04-02,115.76,52.8,62.96,45.6,12.59,1.62,27.56,72.15
6317,142,2025-04-02,1264.74,587.91,676.83,46.5,135.37,1.44,294.17,872.01
6318,143,2025-04-02,425.89,197.35,228.54,46.3,45.71,1.45,116.69,237.95
6319,144,2025-04-02,1309.6,550.78,758.82,42.1,151.76,1.34,315.1,715.02
6320,145,2025-04-02,286.31,142.07,144.24,49.6,28.85,1.36,98.71,195.48
6321,146,2025-04-02,226.79,92.51,134.28,40.8,26.86,1.77,61.2,147.25
6322,147,2025-04-02,274.57,114.52,160.05,41.7,32.01,1.46,92.13,191.65
6323,148,2025-04-02,252.15,108.35,143.81,43.0,28.76,1.68,85.27,160.3
6324,149,2025-04-02,102.05,50.08,51.97,49.1,10.39,1.34,32.3,53.58
6325,150,2025-04-02,1204.92,540.89,664.03,44.9,132.81,1.8,459.91,676.61
6326,151,2025-04-02,194.1,79.16,114.94,40.8,22.99,1.58,67.44,123.54
6327,152,2025-04-02,99.95,44.89,55.07,44.9,11.01,1.69,28.9,69.37
6328,153,2025-04-02,1336.11,659.92,676.19,49.4,135.24,1.69,317.02,753.93
6329,154,2025-04-02,1197.4,546.48,650.92,45.6,130.18,1.33,388.6,736.53
6330,155,2025-04-02,151.8,68.88,82.92,45.4,16.58,1.78,56.04,95.76
6331,156,2025-04-02,528.33,217.56,310.78,41.2,62.16,1.5,157.73,274.56
6332,157,2025-04-02,251.89,124.5,127.39,49.4,25.48,1.35,63.87,174.44
6333,158,2025-04-02,1274.92,608.54,666.38,47.7,133.28,1.47,445.48,783.53
6334,159,2025-04-02,387.8,176.66,211.14,45.6,42.23,1.59,137.0,208.12
6335,160,2025-04-02,1236.43,531.46,704.97,43.0,140.99,1.73,358.23,794.73
6336,161,2025-04-02,1122.7,506.47,616.23,45.1,123.25,1.37,311.05,784.82
6337,162,2025-04-02,274.56,135.78,138.79,49.5,27.76,1.66,67.66,176.76
6338,163,2025-04-02,303.87,123.76,180.12,40.7,36.02,1.65,96.8,177.04
6339,164,2025-04-02,199.59,83.95,115.64,42.1,23.13,1.64,55.08,113.94
6340,165,2025-04-02,1014.52,460.62,553.9,45.4,110.78,1.3,236.05,558.37
6341,166,2025-04-02,442.25,185.24,257.01,41.9,51.4,1.63,162.11,256.91
6342,167,2025-04-02,896.09,416.2,479.89,46.4,95.98,1.32,238.66,549.0
6343,168,2025-04-02,1084.31,519.25,565.06,47.9,113.01,1.45,409.96,627.73
6344,169,2025-04-02,275.58,124.14,151.44,45.0,30.29,1.54,108.24,175.54
6345,170,2025-04-02,1121.79,493.92,627.87,44.0,125.57,1.59,239.36,653.72
6346,171,2025-04-02,183.11,73.05,110.06,39.9,22.01,1.38,48.47,100.0
6347,172,2025-04-02,805.36,348.1,457.26,43.2,91.45,1.39,307.06,448.98
6348,173,2025-04-02,58.76,26.98,31.78,45.9,6.36,1.34,12.85,35.28
6349,174,2025-04-02,150.07,70.81,79.25,47.2,15.85,1.34,34.11,77.89
6350,175,2025-04-02,1006.94,433.51,573.43,43.1,114.69,1.44,386.15,584.32
6351,176,2025-04-02,191.95,79.46,112.49,41.4,22.5,1.63,56.34,132.65
6352,177,2025-04-02,964.53,398.93,565.61,41.4,113.12,1.74,331.33,630.86
6353,178,2025-04-02,273.17,121.63,151.54,44.5,30.31,1.6,60.62,171.81
6354,179,2025-04-02,1440.65,693.56,747.1,48.1,149.42,1.46,482.67,992.84
6355,180,2025-04-02,1336.94,591.97,744.97,44.3,148.99,1.41,497.05,728.06
6356,181,2025-04-02,113.91,55.51,58.4,48.7,11.68,1.55,26.5,66.12
6357,182,2025-04-02,134.66,60.59,74.07,45.0,14.81,1.35,37.98,91.01
6358,183,2025-04-02,953.26,445.68,507.58,46.8,101.52,1.59,276.17,577.42
6359,184,2025-04-02,1056.55,472.2,584.35,44.7,116.87,1.43,263.01,674.39
6360,185,2025-04-02,797.18,385.3,411.88,48.3,82.38,1.62,318.18,520.55
6361,186,2025-04-02,281.69,116.36,165.33,41.3,33.07,1.59,66.89,194.58
6362,187,2025-04-02,232.87,112.56,120.31,48.3,24.06,1.73,91.56,118.38
6363,188,2025-04-02,284.6,113.25,171.35,39.8,34.27,1.3,65.7,168.21
6364,189,2025-04-02,1197.28,520.68,676.59,43.5,135.32,1.75,268.02,778.13
6365,190,2025-04-02,1123.01,465.8,657.21,41.5,131.44,1.77,404.62,770.33
6366,191,2025-04-02,1472.9,681.75,791.15,46.3,158.23,1.8,303.51,794.37
6367,192,2025-04-02,71.07,33.8,37.27,47.6,7.45,1.72,26.67,41.22
6368,193,2025-04-02,892.59,382.32,510.27,42.8,102.05,1.4,289.54,566.88
6369,194,2025-04-02,271.0,125.13,145.87,46.2,29.17,1.56,65.92,138.92
6370,195,2025-04-02,51.69,23.73,27.96,45.9,5.59,1.7,16.55,34.68
6371,196,2025-04-02,220.71,96.02,124.69,43.5,24.94,1.56,87.97,151.54
6372,197,2025-04-02,1608.06,746.83,861.23,46.4,172.25,1.38,510.71,933.25
6373,198,2025-04-02,106.61,49.89,56.72,46.8,11.34,1.39,29.15,58.85
6374,199,2025-04-02,154.71,66.95,87.76,43.3,17.55,1.74,49.72,89.18
6375,200,2025-04-02,108.92,45.48,63.44,41.8,12.69,1.71,27.01,69.27
6376,201,2025-04-02,268.51,132.3,136.21,49.3,27.24,1.39,56.07,178.84
6377,202,2025-04-02,175.5,71.76,103.74,40.9,20.75,1.56,46.6,94.44
6378,203,2025-04-02,260.85,126.44,134.42,48.5,26.88,1.48,71.02,150.71
6379,204,2025-04-02,128.42,54.86,73.57,42.7,14.71,1.76,46.59,70.01
6380,205,2025-04-02,234.01,111.21,122.79,47.5,24.56,1.51,55.68,150.5
6381,206,2025-04-02,468.9,199.14,269.76,42.5,53.95,1.51,133.9,237.57
6382,207,2025-04-02,259.15,116.14,143.01,44.8,28.6,1.48,102.48,140.14
6383,208,2025-04-02,123.51,58.0,65.52,47.0,13.1,1.72,48.64,63.28
6384,209,2025-04-02,127.51,61.04,66.47,47.9,13.29,1.42,38.2,66.02
6385,210,2025-04-02,261.51,128.44,133.07,49.1,26.61,1.71,71.31,174.61
6386,211,2025-04-02,133.17,64.01,69.16,48.1,13.83,1.58,28.03,79.25
6387,212,2025-04-02,76.84,31.41,45.43,40.9,9.09,1.31,16.19,49.59
6388,213,2025-04-02,256.3,125.74,130.56,49.1,26.11,1.63,58.59,175.45
6389,214,2025-04-02,101.72,42.94,58.78,42.2,11.76,1.58,28.12,71.02
6390,215,2025-04-02,1114.09,462.6,651.49,41.5,130.3,1.54,383.83,732.5
6391,216,2025-04-02,122.67,52.92,69.75,43.1,13.95,1.32,27.89,68.72
6392,217,2025-04-02,117.33,57.71,59.62,49.2,11.92,1.59,34.49,63.96
6393,218,2025-04-02,253.97,110.34,143.63,43.4,28.73,1.53,94.59,147.81
6394,219,2025-04-02,148.5,63.11,85.39,42.5,17.08,1.32,54.74,82.66
6395,220,2025-04-02,274.72,128.25,146.47,46.7,29.29,1.68,56.12,138.11
6396,221,2025-04-02,154.65,72.19,82.46,46.7,16.49,1.32,33.56,82.76
6397,222,2025-04-02,1485.61,592.14,893.47,39.9,178.69,1.74,428.78,806.27
6398,223,2025-04-02,235.31,112.13,123.18,47.7,24.64,1.49,87.27,120.35
6399,224,2025-04-02,132.73,54.15,78.58,40.8,15.72,1.51,42.36,84.26
6400,225,2025-04-02,217.07,93.6,123.48,43.1,24.7,1.62,58.77,137.64
6401,226,2025-04-02,301.21,129.1,172.11,42.9,34.42,1.66,72.31,179.0
6402,227,2025-04-02,90.27,38.14,52.13,42.3,10.43,1.68,20.36,53.9
6403,228,2025-04-02,233.96,109.72,124.24,46.9,24.85,1.44,59.27,156.86
6404,229,2025-04-02,87.09,39.63,47.46,45.5,9.49,1.35,31.4,59.32
6405,230,2025-04-02,987.97,400.4,587.58,40.5,117.52,1.45,239.39,495.23
6406,231,2025-04-02,847.77,361.25,486.52,42.6,97.3,1.7,185.66,590.66
6407,232,2025-04-02,215.84,94.22,121.62,43.7,24.32,1.43,66.85,120.42
6408,233,2025-04-02,78.62,37.88,40.74,48.2,8.15,1.66,23.34,54.6
6409,234,2025-04-02,1153.05,478.87,674.18,41.5,134.84,1.79,415.89,601.85
6410,235,2025-04-02,184.86,88.12,96.74,47.7,19.35,1.34,60.28,94.13
6411,236,2025-04-02,970.72,427.59,543.13,44.0,108.63,1.73,230.65,513.67
6412,237,2025-04-02,173.15,77.14,96.01,44.5,19.2,1.46,56.34,109.11
6413,238,2025-04-02,195.72,90.45,105.27,46.2,21.05,1.48,64.55,134.13
6414,239,2025-04-02,254.91,110.41,144.51,43.3,28.9,1.51,70.98,162.97
6415,240,2025-04-02,1175.77,473.48,702.29,40.3,140.46,1.42,339.55,800.03
6416,241,2025-04-02,57.56,23.55,34.01,40.9,6.8,1.35,21.95,37.35
6417,242,2025-04-02,50.08,22.03,28.05,44.0,5.61,1.35,19.12,26.92
6418,243,2025-04-02,1144.94,464.51,680.43,40.6,136.09,1.71,281.17,596.23
6419,244,2025-04-02,1200.82,546.6,654.22,45.5,130.84,1.54,317.14,714.17
6420,245,2025-04-02,234.95,99.17,135.78,42.2,27.16,1.39,86.66,137.81
6421,246,2025-04-02,180.37,82.35,98.02,45.7,19.6,1.42,49.01,91.59
6422,247,2025-04-02,1121.96,487.36,634.6,43.4,126.92,1.78,313.78,770.94
6423,248,2025-04-02,203.65,83.22,120.43,40.9,24.09,1.75,75.79,131.78
6424,249,2025-04-02,155.03,63.8,91.23,41.2,18.25,1.65,49.08,86.75
6425,250,2025-04-02,224.21,99.73,124.48,44.5,24.9,1.45,49.72,148.05
6426,251,2025-04-02,1398.32,569.9,828.43,40.8,165.69,1.46,316.41,830.76
6427,252,2025-04-02,149.55,61.03,88.52,40.8,17.7,1.71,35.59,90.49
6428,253,2025-04-02,1338.23,643.28,694.95,48.1,138.99,1.77,474.46,913.44
6429,254,2025-04-02,1197.69,533.38,664.32,44.5,132.86,1.38,319.63,626.75
6430,255,2025-04-02,1009.17,404.81,604.35,40.1,120.87,1.68,367.39,554.68
6431,256,2025-04-02,231.08,105.5,125.58,45.7,25.12,1.62,54.53,142.7
6432,257,2025-04-02,303.0,139.73,163.27,46.1,32.65,1.47,111.99,188.29
6433,258,2025-04-02,271.37,112.16,159.2,41.3,31.84,1.38,101.37,178.01
6434,259,2025-04-02,55.69,22.15,33.54,39.8,6.71,1.41,12.69,31.52
6435,260,2025-04-02,189.39,83.57,105.82,44.1,21.16,1.61,58.34,104.28
6436,261,2025-04-02,1209.9,519.43,690.48,42.9,138.1,1.76,330.52,738.55
6437,262,2025-04-02,1324.28,634.82,689.46,47.9,137.89,1.61,487.06,749.0
6438,263,2025-04-02,802.41,319.49,482.92,39.8,96.58,1.41,316.27,458.97
6439,264,2025-04-02,261.66,115.11,146.55,44.0,29.31,1.31,98.32,150.21
6440,265,2025-04-02,1095.92,446.46,649.46,40.7,129.89,1.71,254.35,619.28
6441,266,2025-04-02,450.2,205.58,244.62,45.7,48.92,1.7,154.84,259.36
6442,267,2025-04-02,269.69,130.77,138.93,48.5,27.79,1.74,102.8,148.62
6443,268,2025-04-02,270.66,129.41,141.25,47.8,28.25,1.64,89.95,186.52
6444,269,2025-04-02,1293.43,622.48,670.95,48.1,134.19,1.56,483.54,670.98
6445,270,2025-04-02,127.17,57.0,70.17,44.8,14.03,1.36,30.0,82.05
6446,271,2025-04-02,228.13,98.65,129.48,43.2,25.9,1.77,75.73,116.44
6447,272,2025-04-02,1431.7,699.16,732.54,48.8,146.51,1.34,571.04,878.73
