equipment_id,site_id,equipment_type,equipment_name,vendor,model,serial_number,technology,frequency_band,power_watts,status,install_date,firmware_version
987,108,RRU,RRU-MAN-MAC-0108-C,Ericsson,Ericsson Radio 2219,SN361929216,5G,,174,Active,2020-11-29,v24.9.61
988,108,Antenna,ANT-MAN-MAC-0108-C,Ericsson,Ericsson Antenna 8843,SN205516863,5G,,0,Active,2020-11-29,
989,109,BBU,BBU-MAN-MAC-0109,Nokia,Nokia AirScale Baseband,SN442371535,5G,,237,Active,2019-09-13,v19.7.14
990,109,gNodeB,gNB-MAN-MAC-0109-A,Nokia,Nokia AEQC,SN611139557,5G NR,n78,52,Active,2019-09-13,v20.8.75
991,109,RRU,RRU-MAN-MAC-0109-A,Nokia,Nokia AHFIB,SN742413041,5G,,162,Active,2019-09-13,v20.9.1
992,109,Antenna,ANT-MAN-MAC-0109-A,Nokia,Nokia MIMO Antenna 8T8R,SN219747878,5G,,0,Active,2019-09-13,
993,109,gNodeB,gNB-MAN-MAC-0109-B,Nokia,Nokia AWHQA,SN934722451,5G NR,n258,52,Active,2019-09-13,v24.9.96
994,109,RRU,RRU-MAN-MAC-0109-B,Nokia,Nokia AHHF,SN100531633,5G,,132,Active,2019-09-13,v24.6.76
995,109,Antenna,ANT-MAN-MAC-0109-B,Nokia,Nokia MIMO Antenna 8T8R,SN628930743,5G,,0,Active,2019-09-13,
996,109,gNodeB,gNB-MAN-MAC-0109-C,Nokia,Nokia AWHQA,SN452873867,5G NR,n77,72,Active,2019-09-13,v23.8.36
997,109,RRU,RRU-MAN-MAC-0109-C,Nokia,Nokia AHHF,SN383682483,5G,,168,Active,2019-09-13,v19.5.35
998,109,Antenna,ANT-MAN-MAC-0109-C,Nokia,Nokia MIMO Antenna 8T8R,SN772078335,5G,,0,Active,2019-09-13,
999,109,gNodeB,gNB-MAN-MAC-0109-D,Nokia,Nokia AEQC,SN912406191,5G NR,n78,51,Active,2019-09-13,v23.0.40
1000,109,RRU,RRU-MAN-MAC-0109-D,Nokia,Nokia AHHF,SN632348238,5G,,120,Active,2019-09-13,v19.1.97
1001,109,Antenna,ANT-MAN-MAC-0109-D,Nokia,Nokia MIMO Antenna 8T8R,SN822602684,5G,,0,Active,2019-09-13,
1002,109,gNodeB,gNB-MAN-MAC-0109-E,Nokia,Nokia AEQC,SN575880586,5G NR,n78,61,Active,2019-09-13,v24.2.24
1003,109,RRU,RRU-MAN-MAC-0109-E,Nokia,Nokia AHFIB,SN919106793,5G,,129,Active,2019-09-13,v19.4.64
1004,109,Antenna,ANT-MAN-MAC-0109-E,Nokia,Nokia MIMO Antenna 8T8R,SN443614412,5G,,0,Active,2019-09-13,
1005,109,gNodeB,gNB-MAN-MAC-0109-F,Nokia,Nokia AWHQA,SN210506411,5G NR,n258,59,Active,2019-09-13,v24.3.73
1006,109,RRU,RRU-MAN-MAC-0109-F,Nokia,Nokia AHFIB,SN447640483,5G,,120,Active,2019-09-13,v19.6.21
1007,109,Antenna,ANT-MAN-MAC-0109-F,Nokia,Nokia AirScale Antenna,SN755114828,5G,,0,Active,2019-09-13,
1008,110,BBU,BBU-MAN-ROO-0110,Huawei,Huawei BBU5900,SN449697588,4G/5G,,464,Active,2024-06-06,v21.9.53
1009,110,gNodeB,gNB-MAN-ROO-0110-A,Huawei,Huawei AAU5611,SN345590089,5G NR,n28,56,Active,2024-06-06,v23.4.47
1010,110,eNodeB,eNB-MAN-ROO-0110-A,Huawei,Huawei BTS3900,SN458331444,4G LTE,B1,53,Active,2024-06-06,v18.5.57
1011,110,RRU,RRU-MAN-ROO-0110-A,Huawei,Huawei RRU3971,SN556660155,4G/5G,,172,Active,2024-06-06,v21.6.0
1012,110,Antenna,ANT-MAN-ROO-0110-A,Huawei,Huawei APUS13M,SN159385890,4G/5G,,0,Active,2024-06-06,
1013,110,gNodeB,gNB-MAN-ROO-0110-B,Huawei,Huawei AAU5239,SN793414641,5G NR,n28,48,Active,2024-06-06,v23.4.2
1014,110,eNodeB,eNB-MAN-ROO-0110-B,Huawei,Huawei BTS3900,SN810875738,4G LTE,B3,52,Active,2024-06-06,v18.4.47
1015,110,RRU,RRU-MAN-ROO-0110-B,Huawei,Huawei RRU5301,SN445579291,4G/5G,,154,Active,2024-06-06,v24.6.41
1016,110,Antenna,ANT-MAN-ROO-0110-B,Huawei,Huawei AAU3940,SN956281850,4G/5G,,0,Active,2024-06-06,
1017,111,BBU,BBU-MAN-SMA-0111,Ericsson,Ericsson Baseband 6630,SN763095528,4G/5G,,457,Active,2023-04-05,v21.4.13
1018,111,gNodeB,gNB-MAN-SMA-0111-A,Ericsson,Ericsson AIR 6449,SN272247459,5G NR,n77,60,Active,2023-04-05,v23.9.60
1019,111,eNodeB,eNB-MAN-SMA-0111-A,Ericsson,Ericsson RBS 6601,SN838520660,4G LTE,B7,60,Active,2023-04-05,v21.7.31
1020,111,RRU,RRU-MAN-SMA-0111-A,Ericsson,Ericsson Radio 4478,SN751444364,4G/5G,,175,Active,2023-04-05,v21.0.12
1021,111,Antenna,ANT-MAN-SMA-0111-A,Ericsson,Ericsson AIR 6488,SN786796049,4G/5G,,0,Active,2023-04-05,
1022,111,gNodeB,gNB-MAN-SMA-0111-B,Ericsson,Ericsson AIR 3246,SN677561127,5G NR,n28,63,Active,2023-04-05,v23.4.14
1023,111,eNodeB,eNB-MAN-SMA-0111-B,Ericsson,Ericsson RBS 6301,SN905119762,4G LTE,B3,32,Active,2023-04-05,v18.6.19
1024,111,RRU,RRU-MAN-SMA-0111-B,Ericsson,Ericsson Radio 2219,SN733301861,4G/5G,,138,Active,2023-04-05,v22.3.71
1025,111,Antenna,ANT-MAN-SMA-0111-B,Ericsson,Ericsson AIR 6488,SN570579379,4G/5G,,0,Active,2023-04-05,
1026,111,gNodeB,gNB-MAN-SMA-0111-C,Ericsson,Ericsson AIR 6419,SN714967553,5G NR,n28,74,Active,2023-04-05,v22.8.67
1027,111,eNodeB,eNB-MAN-SMA-0111-C,Ericsson,Ericsson RBS 6301,SN250825897,4G LTE,B20,54,Active,2023-04-05,v22.1.89
1028,111,RRU,RRU-MAN-SMA-0111-C,Ericsson,Ericsson Radio 4478,SN487867336,4G/5G,,198,Active,2023-04-05,v21.3.23
1029,111,Antenna,ANT-MAN-SMA-0111-C,Ericsson,Ericsson Antenna 8843,SN602861644,4G/5G,,0,Active,2023-04-05,
1030,112,BBU,BBU-MAN-SMA-0112,Ericsson,Ericsson Baseband 6630,SN594784193,4G/5G,,385,Active,2020-07-16,v20.3.86
1031,112,gNodeB,gNB-MAN-SMA-0112-A,Ericsson,Ericsson AIR 3246,SN748128701,5G NR,n28,41,Active,2020-07-16,v21.1.82
1032,112,eNodeB,eNB-MAN-SMA-0112-A,Ericsson,Ericsson RBS 6301,SN525532451,4G LTE,B7,55,Active,2020-07-16,v19.0.67
1033,112,RRU,RRU-MAN-SMA-0112-A,Ericsson,Ericsson Radio 2219,SN650036781,4G/5G,,147,Active,2020-07-16,v18.9.55
1034,112,Antenna,ANT-MAN-SMA-0112-A,Ericsson,Ericsson AIR 6488,SN641393037,4G/5G,,0,Active,2020-07-16,
1035,112,gNodeB,gNB-MAN-SMA-0112-B,Ericsson,Ericsson AIR 3246,SN628291148,5G NR,n1,58,Active,2020-07-16,v24.5.81
1036,112,eNodeB,eNB-MAN-SMA-0112-B,Ericsson,Ericsson RBS 6601,SN706993563,4G LTE,B20,32,Active,2020-07-16,v20.1.68
1037,112,RRU,RRU-MAN-SMA-0112-B,Ericsson,Ericsson Radio 2219,SN957480532,4G/5G,,165,Active,2020-07-16,v24.1.73
1038,112,Antenna,ANT-MAN-SMA-0112-B,Ericsson,Ericsson Antenna 8843,SN755016314,4G/5G,,0,Active,2020-07-16,
1039,112,gNodeB,gNB-MAN-SMA-0112-C,Ericsson,Ericsson AIR 6419,SN923683760,5G NR,n78,67,Active,2020-07-16,v22.7.57
1040,112,eNodeB,eNB-MAN-SMA-0112-C,Ericsson,Ericsson Radio 4415,SN798408604,4G LTE,B3,40,Active,2020-07-16,v16.2.82
1041,112,RRU,RRU-MAN-SMA-0112-C,Ericsson,Ericsson Radio 4478,SN587529337,4G/5G,,167,Active,2020-07-16,v24.6.2
1042,112,Antenna,ANT-MAN-SMA-0112-C,Ericsson,Ericsson Antenna 8843,SN717120062,4G/5G,,0,Active,2020-07-16,
1043,113,BBU,BBU-MAN-MAC-0113,Ericsson,Ericsson Baseband 6648,SN106822504,5G,,399,Active,2023-07-25,v18.0.28
1044,113,gNodeB,gNB-MAN-MAC-0113-A,Ericsson,Ericsson AIR 3246,SN261592689,5G NR,n258,56,Active,2023-07-25,v21.9.86
1045,113,RRU,RRU-MAN-MAC-0113-A,Ericsson,Ericsson Radio 4478,SN671621787,5G,,158,Active,2023-07-25,v23.3.98
1046,113,Antenna,ANT-MAN-MAC-0113-A,Ericsson,Ericsson Antenna 8843,SN867622823,5G,,0,Active,2023-07-25,
1047,113,gNodeB,gNB-MAN-MAC-0113-B,Ericsson,Ericsson AIR 6419,SN929993843,5G NR,n77,49,Active,2023-07-25,v21.4.23
1048,113,RRU,RRU-MAN-MAC-0113-B,Ericsson,Ericsson Radio 2219,SN128158333,5G,,168,Active,2023-07-25,v22.0.99
1049,113,Antenna,ANT-MAN-MAC-0113-B,Ericsson,Ericsson AIR 6488,SN679902460,5G,,0,Active,2023-07-25,
1050,113,gNodeB,gNB-MAN-MAC-0113-C,Ericsson,Ericsson AIR 3246,SN451608619,5G NR,n78,60,Active,2023-07-25,v21.3.25
1051,113,RRU,RRU-MAN-MAC-0113-C,Ericsson,Ericsson Radio 4478,SN275330135,5G,,154,Active,2023-07-25,v20.3.27
1052,113,Antenna,ANT-MAN-MAC-0113-C,Ericsson,Ericsson Antenna 8843,SN129309334,5G,,0,Active,2023-07-25,
1053,114,BBU,BBU-MAN-SMA-0114,Ericsson,Ericsson Baseband 6630,SN572060870,4G/5G,,263,Offline,2019-05-29,v24.6.3
1054,114,gNodeB,gNB-MAN-SMA-0114-A,Ericsson,Ericsson Radio 4422,SN508469182,5G NR,n77,43,Offline,2019-05-29,v23.7.51
1055,114,eNodeB,eNB-MAN-SMA-0114-A,Ericsson,Ericsson RBS 6601,SN927837480,4G LTE,B3,42,Offline,2019-05-29,v20.1.11
1056,114,RRU,RRU-MAN-SMA-0114-A,Ericsson,Ericsson Radio 2219,SN644068557,4G/5G,,174,Offline,2019-05-29,v23.8.15
1057,114,Antenna,ANT-MAN-SMA-0114-A,Ericsson,Ericsson AIR 6488,SN912399890,4G/5G,,0,Offline,2019-05-29,
1058,114,gNodeB,gNB-MAN-SMA-0114-B,Ericsson,Ericsson AIR 6419,SN625176174,5G NR,n78,78,Offline,2019-05-29,v22.5.53
1059,114,eNodeB,eNB-MAN-SMA-0114-B,Ericsson,Ericsson RBS 6601,SN197486070,4G LTE,B3,55,Offline,2019-05-29,v20.5.61
1060,114,RRU,RRU-MAN-SMA-0114-B,Ericsson,Ericsson Radio 4478,SN646250322,4G/5G,,114,Offline,2019-05-29,v21.0.0
1061,114,Antenna,ANT-MAN-SMA-0114-B,Ericsson,Ericsson Antenna 8843,SN962656713,4G/5G,,0,Offline,2019-05-29,
1062,115,BBU,BBU-LEE-ROO-0115,Nokia,Nokia Cloud RAN,SN529827812,5G,,251,Active,2024-08-27,v20.5.39
1063,115,gNodeB,gNB-LEE-ROO-0115-A,Nokia,Nokia AirScale,SN800081643,5G NR,n258,59,Active,2024-08-27,v21.1.83
1064,115,RRU,RRU-LEE-ROO-0115-A,Nokia,Nokia AHHF,SN606120516,5G,,102,Active,2024-08-27,v20.5.5
1065,115,Antenna,ANT-LEE-ROO-0115-A,Nokia,Nokia AirScale Antenna,SN367359701,5G,,0,Active,2024-08-27,
1066,115,gNodeB,gNB-LEE-ROO-0115-B,Nokia,Nokia AirScale,SN109957827,5G NR,n1,48,Active,2024-08-27,v24.2.17
1067,115,RRU,RRU-LEE-ROO-0115-B,Nokia,Nokia AHHF,SN918500336,5G,,104,Active,2024-08-27,v18.9.26
1068,115,Antenna,ANT-LEE-ROO-0115-B,Nokia,Nokia MIMO Antenna 8T8R,SN499114168,5G,,0,Active,2024-08-27,
1069,115,gNodeB,gNB-LEE-ROO-0115-C,Nokia,Nokia AWHQA,SN983958713,5G NR,n258,50,Active,2024-08-27,v23.2.22
1070,115,RRU,RRU-LEE-ROO-0115-C,Nokia,Nokia AHFIB,SN896680642,5G,,185,Active,2024-08-27,v19.5.14
1071,115,Antenna,ANT-LEE-ROO-0115-C,Nokia,Nokia AirScale Antenna,SN132190917,5G,,0,Active,2024-08-27,
1072,116,BBU,BBU-LEE-SMA-0116,Ericsson,Ericsson Baseband 6648,SN319125903,4G/5G,,356,Active,2023-10-18,v21.5.33
1073,116,gNodeB,gNB-LEE-SMA-0116-A,Ericsson,Ericsson AIR 3246,SN941028578,5G NR,n78,41,Active,2023-10-18,v22.0.60
1074,116,eNodeB,eNB-LEE-SMA-0116-A,Ericsson,Ericsson RBS 6601,SN537715480,4G LTE,B3,31,Active,2023-10-18,v20.6.97
1075,116,RRU,RRU-LEE-SMA-0116-A,Ericsson,Ericsson Radio 2219,SN269836515,4G/5G,,112,Active,2023-10-18,v18.5.28
1076,116,Antenna,ANT-LEE-SMA-0116-A,Ericsson,Ericsson AIR 6488,SN550845807,4G/5G,,0,Active,2023-10-18,
1077,116,gNodeB,gNB-LEE-SMA-0116-B,Ericsson,Ericsson AIR 6449,SN610767573,5G NR,n78,69,Active,2023-10-18,v23.8.56
1078,116,eNodeB,eNB-LEE-SMA-0116-B,Ericsson,Ericsson RBS 6601,SN434396365,4G LTE,B20,45,Active,2023-10-18,v19.4.16
1079,116,RRU,RRU-LEE-SMA-0116-B,Ericsson,Ericsson Radio 4478,SN804776508,4G/5G,,169,Active,2023-10-18,v20.9.85
1080,116,Antenna,ANT-LEE-SMA-0116-B,Ericsson,Ericsson AIR 6488,SN613022936,4G/5G,,0,Active,2023-10-18,
1081,117,BBU,BBU-LEE-SMA-0117,Nokia,Nokia Cloud RAN,SN903930813,5G,,492,Active,2023-01-12,v19.2.28
1082,117,gNodeB,gNB-LEE-SMA-0117-A,Nokia,Nokia AWHQA,SN964842647,5G NR,n77,49,Active,2023-01-12,v21.1.95
1083,117,RRU,RRU-LEE-SMA-0117-A,Nokia,Nokia AHFIB,SN870160720,5G,,151,Active,2023-01-12,v20.9.13
1084,117,Antenna,ANT-LEE-SMA-0117-A,Nokia,Nokia AirScale Antenna,SN342905531,5G,,0,Active,2023-01-12,
1085,117,gNodeB,gNB-LEE-SMA-0117-B,Nokia,Nokia AEQC,SN883864035,5G NR,n77,59,Active,2023-01-12,v22.7.85
1086,117,RRU,RRU-LEE-SMA-0117-B,Nokia,Nokia AHHF,SN915929556,5G,,116,Active,2023-01-12,v20.6.47
1087,117,Antenna,ANT-LEE-SMA-0117-B,Nokia,Nokia AirScale Antenna,SN722092254,5G,,0,Active,2023-01-12,
1088,117,gNodeB,gNB-LEE-SMA-0117-C,Nokia,Nokia AWHQA,SN903090102,5G NR,n78,64,Active,2023-01-12,v20.3.23
1089,117,RRU,RRU-LEE-SMA-0117-C,Nokia,Nokia AHFIB,SN253496188,5G,,181,Active,2023-01-12,v18.3.20
1090,117,Antenna,ANT-LEE-SMA-0117-C,Nokia,Nokia MIMO Antenna 8T8R,SN446316507,5G,,0,Active,2023-01-12,
1091,118,BBU,BBU-LEE-MAC-0118,Ericsson,Ericsson Baseband 6630,SN714273453,5G,,446,Active,2024-02-07,v21.5.24
1092,118,gNodeB,gNB-LEE-MAC-0118-A,Ericsson,Ericsson Radio 4422,SN330678603,5G NR,n258,69,Active,2024-02-07,v24.4.69
1093,118,RRU,RRU-LEE-MAC-0118-A,Ericsson,Ericsson Radio 4478,SN226507324,5G,,195,Active,2024-02-07,v20.8.43
1094,118,Antenna,ANT-LEE-MAC-0118-A,Ericsson,Ericsson Antenna 8843,SN300058933,5G,,0,Active,2024-02-07,
1095,118,gNodeB,gNB-LEE-MAC-0118-B,Ericsson,Ericsson AIR 3246,SN966497303,5G NR,n28,71,Active,2024-02-07,v24.7.84
1096,118,RRU,RRU-LEE-MAC-0118-B,Ericsson,Ericsson Radio 2219,SN817273153,5G,,143,Active,2024-02-07,v24.8.33
1097,118,Antenna,ANT-LEE-MAC-0118-B,Ericsson,Ericsson AIR 6488,SN939617000,5G,,0,Active,2024-02-07,
1098,118,gNodeB,gNB-LEE-MAC-0118-C,Ericsson,Ericsson AIR 3246,SN789656532,5G NR,n258,41,Active,2024-02-07,v24.2.12
1099,118,RRU,RRU-LEE-MAC-0118-C,Ericsson,Ericsson Radio 2219,SN591165414,5G,,114,Active,2024-02-07,v18.8.91
1100,118,Antenna,ANT-LEE-MAC-0118-C,Ericsson,Ericsson Antenna 8843,SN235612785,5G,,0,Active,2024-02-07,
1101,119,BBU,BBU-LEE-SMA-0119,Ericsson,Ericsson Baseband 6648,SN429671389,4G/5G,,431,Active,2021-04-08,v21.8.10
1102,119,gNodeB,gNB-LEE-SMA-0119-A,Ericsson,Ericsson AIR 6419,SN980496878,5G NR,n258,72,Active,2021-04-08,v21.2.87
1103,119,eNodeB,eNB-LEE-SMA-0119-A,Ericsson,Ericsson RBS 6601,SN313327931,4G LTE,B20,53,Active,2021-04-08,v21.5.67
1104,119,RRU,RRU-LEE-SMA-0119-A,Ericsson,Ericsson Radio 2219,SN704391021,4G/5G,,167,Active,2021-04-08,v22.0.68
1105,119,Antenna,ANT-LEE-SMA-0119-A,Ericsson,Ericsson Antenna 8843,SN679237767,4G/5G,,0,Active,2021-04-08,
1106,119,gNodeB,gNB-LEE-SMA-0119-B,Ericsson,Ericsson AIR 6419,SN279050174,5G NR,n1,63,Active,2021-04-08,v21.1.87
1107,119,eNodeB,eNB-LEE-SMA-0119-B,Ericsson,Ericsson RBS 6601,SN906491970,4G LTE,B3,52,Active,2021-04-08,v17.8.78
1108,119,RRU,RRU-LEE-SMA-0119-B,Ericsson,Ericsson Radio 4478,SN317106437,4G/5G,,135,Active,2021-04-08,v18.6.37
1109,119,Antenna,ANT-LEE-SMA-0119-B,Ericsson,Ericsson Antenna 8843,SN660223249,4G/5G,,0,Active,2021-04-08,
1110,119,gNodeB,gNB-LEE-SMA-0119-C,Ericsson,Ericsson Radio 4422,SN602515629,5G NR,n258,60,Active,2021-04-08,v21.4.0
1111,119,eNodeB,eNB-LEE-SMA-0119-C,Ericsson,Ericsson RBS 6601,SN860575419,4G LTE,B1,47,Active,2021-04-08,v21.4.26
1112,119,RRU,RRU-LEE-SMA-0119-C,Ericsson,Ericsson Radio 2219,SN163589383,4G/5G,,196,Active,2021-04-08,v21.2.18
1113,119,Antenna,ANT-LEE-SMA-0119-C,Ericsson,Ericsson Antenna 8843,SN983089574,4G/5G,,0,Active,2021-04-08,
1114,120,BBU,BBU-LEE-MAC-0120,Nokia,Nokia AirScale Baseband,SN920975401,5G,,324,Active,2024-03-08,v21.2.82
1115,120,gNodeB,gNB-LEE-MAC-0120-A,Nokia,Nokia AEQC,SN735028533,5G NR,n258,52,Active,2024-03-08,v21.5.9
1116,120,RRU,RRU-LEE-MAC-0120-A,Nokia,Nokia AHFIB,SN396586682,5G,,117,Active,2024-03-08,v21.1.92
1117,120,Antenna,ANT-LEE-MAC-0120-A,Nokia,Nokia AirScale Antenna,SN321009450,5G,,0,Active,2024-03-08,
1118,120,gNodeB,gNB-LEE-MAC-0120-B,Nokia,Nokia AEQC,SN821810129,5G NR,n77,57,Active,2024-03-08,v22.0.81
1119,120,RRU,RRU-LEE-MAC-0120-B,Nokia,Nokia AHFIB,SN659011768,5G,,139,Active,2024-03-08,v22.1.98
1120,120,Antenna,ANT-LEE-MAC-0120-B,Nokia,Nokia MIMO Antenna 8T8R,SN349302636,5G,,0,Active,2024-03-08,
1121,120,gNodeB,gNB-LEE-MAC-0120-C,Nokia,Nokia AWHQA,SN420857909,5G NR,n258,47,Active,2024-03-08,v24.9.58
1122,120,RRU,RRU-LEE-MAC-0120-C,Nokia,Nokia AHFIB,SN175594355,5G,,196,Active,2024-03-08,v23.5.34
1123,120,Antenna,ANT-LEE-MAC-0120-C,Nokia,Nokia AirScale Antenna,SN509634343,5G,,0,Active,2024-03-08,
1124,121,BBU,BBU-LEE-SMA-0121,Huawei,Huawei BBU3910,SN221158422,5G,,438,Active,2019-05-10,v21.9.21
1125,121,gNodeB,gNB-LEE-SMA-0121-A,Huawei,Huawei AAU5611,SN914389724,5G NR,n258,58,Active,2019-05-10,v21.8.13
1126,121,RRU,RRU-LEE-SMA-0121-A,Huawei,Huawei RRU5301,SN885720569,5G,,177,Active,2019-05-10,v22.5.30
1127,121,Antenna,ANT-LEE-SMA-0121-A,Huawei,Huawei APUS13M,SN998409575,5G,,0,Active,2019-05-10,
1128,121,gNodeB,gNB-LEE-SMA-0121-B,Huawei,Huawei AAU5611,SN552769142,5G NR,n258,43,Active,2019-05-10,v20.4.92
1129,121,RRU,RRU-LEE-SMA-0121-B,Huawei,Huawei RRU3971,SN370229471,5G,,181,Active,2019-05-10,v22.5.53
1130,121,Antenna,ANT-LEE-SMA-0121-B,Huawei,Huawei APUS13M,SN482962150,5G,,0,Active,2019-05-10,
1131,122,BBU,BBU-LEE-ROO-0122,Ericsson,Ericsson Baseband 6630,SN113879306,4G/5G,,251,Active,2024-12-06,v23.7.31
1132,122,gNodeB,gNB-LEE-ROO-0122-A,Ericsson,Ericsson Radio 4422,SN734672082,5G NR,n77,67,Active,2024-12-06,v22.1.99
1133,122,eNodeB,eNB-LEE-ROO-0122-A,Ericsson,Ericsson Radio 4415,SN702015640,4G LTE,B7,49,Active,2024-12-06,v22.9.48
1134,122,RRU,RRU-LEE-ROO-0122-A,Ericsson,Ericsson Radio 4478,SN145205850,4G/5G,,177,Active,2024-12-06,v18.9.82
1135,122,Antenna,ANT-LEE-ROO-0122-A,Ericsson,Ericsson AIR 6488,SN718073204,4G/5G,,0,Active,2024-12-06,
1136,122,gNodeB,gNB-LEE-ROO-0122-B,Ericsson,Ericsson AIR 6449,SN920371691,5G NR,n78,55,Active,2024-12-06,v22.9.86
1137,122,eNodeB,eNB-LEE-ROO-0122-B,Ericsson,Ericsson Radio 4415,SN975404036,4G LTE,B7,42,Active,2024-12-06,v21.0.44
1138,122,RRU,RRU-LEE-ROO-0122-B,Ericsson,Ericsson Radio 4478,SN594718999,4G/5G,,173,Active,2024-12-06,v24.8.4
1139,122,Antenna,ANT-LEE-ROO-0122-B,Ericsson,Ericsson Antenna 8843,SN973124622,4G/5G,,0,Active,2024-12-06,
1140,122,gNodeB,gNB-LEE-ROO-0122-C,Ericsson,Ericsson Radio 4422,SN331970687,5G NR,n78,76,Active,2024-12-06,v21.0.80
1141,122,eNodeB,eNB-LEE-ROO-0122-C,Ericsson,Ericsson RBS 6301,SN413829870,4G LTE,B20,59,Active,2024-12-06,v19.0.93
1142,122,RRU,RRU-LEE-ROO-0122-C,Ericsson,Ericsson Radio 4478,SN372208827,4G/5G,,145,Active,2024-12-06,v24.5.45
1143,122,Antenna,ANT-LEE-ROO-0122-C,Ericsson,Ericsson AIR 6488,SN397031861,4G/5G,,0,Active,2024-12-06,
1144,123,BBU,BBU-LEE-SMA-0123,Ericsson,Ericsson Baseband 6648,SN941501994,5G,,224,Active,2019-05-12,v20.7.89
1145,123,gNodeB,gNB-LEE-SMA-0123-A,Ericsson,Ericsson AIR 3246,SN324821156,5G NR,n77,75,Active,2019-05-12,v24.5.94
1146,123,RRU,RRU-LEE-SMA-0123-A,Ericsson,Ericsson Radio 4478,SN908870287,5G,,144,Active,2019-05-12,v24.2.63
1147,123,Antenna,ANT-LEE-SMA-0123-A,Ericsson,Ericsson AIR 6488,SN458375577,5G,,0,Active,2019-05-12,
1148,124,BBU,BBU-LEE-SMA-0124,Nokia,Nokia Cloud RAN,SN761857388,4G/5G,,475,Active,2019-08-20,v23.3.40
1149,124,gNodeB,gNB-LEE-SMA-0124-A,Nokia,Nokia AEQC,SN875177891,5G NR,n78,45,Active,2019-08-20,v23.5.79
1150,124,eNodeB,eNB-LEE-SMA-0124-A,Nokia,Nokia Flexi Zone,SN912354926,4G LTE,B3,42,Active,2019-08-20,v17.4.90
1151,124,RRU,RRU-LEE-SMA-0124-A,Nokia,Nokia AHHF,SN476447338,4G/5G,,143,Active,2019-08-20,v24.7.46
1152,124,Antenna,ANT-LEE-SMA-0124-A,Nokia,Nokia AirScale Antenna,SN280971874,4G/5G,,0,Active,2019-08-20,
1153,124,gNodeB,gNB-LEE-SMA-0124-B,Nokia,Nokia AEQC,SN219701391,5G NR,n78,52,Active,2019-08-20,v24.4.64
1154,124,eNodeB,eNB-LEE-SMA-0124-B,Nokia,Nokia Flexi Zone,SN527318353,4G LTE,B3,49,Active,2019-08-20,v21.1.25
1155,124,RRU,RRU-LEE-SMA-0124-B,Nokia,Nokia AHFIB,SN197218961,4G/5G,,191,Active,2019-08-20,v22.6.33
1156,124,Antenna,ANT-LEE-SMA-0124-B,Nokia,Nokia AirScale Antenna,SN868678998,4G/5G,,0,Active,2019-08-20,
1157,124,gNodeB,gNB-LEE-SMA-0124-C,Nokia,Nokia AEQC,SN479889481,5G NR,n1,65,Active,2019-08-20,v21.6.13
1158,124,eNodeB,eNB-LEE-SMA-0124-C,Nokia,Nokia Flexi Zone,SN447716573,4G LTE,B20,37,Active,2019-08-20,v19.0.31
1159,124,RRU,RRU-LEE-SMA-0124-C,Nokia,Nokia AHFIB,SN816745560,4G/5G,,135,Active,2019-08-20,v18.7.28
1160,124,Antenna,ANT-LEE-SMA-0124-C,Nokia,Nokia AirScale Antenna,SN363444418,4G/5G,,0,Active,2019-08-20,
1161,125,BBU,BBU-LEE-DAS-0125,Ericsson,Ericsson Baseband 6630,SN572828547,5G,,310,Active,2023-10-16,v19.0.37
1162,125,gNodeB,gNB-LEE-DAS-0125-A,Ericsson,Ericsson AIR 6419,SN757366769,5G NR,n78,70,Active,2023-10-16,v23.6.71
1163,125,RRU,RRU-LEE-DAS-0125-A,Ericsson,Ericsson Radio 2219,SN542729056,5G,,123,Active,2023-10-16,v24.8.74
1164,125,Antenna,ANT-LEE-DAS-0125-A,Ericsson,Ericsson Antenna 8843,SN773510042,5G,,0,Active,2023-10-16,
1165,125,gNodeB,gNB-LEE-DAS-0125-B,Ericsson,Ericsson Radio 4422,SN858862663,5G NR,n28,63,Active,2023-10-16,v22.6.47
1166,125,RRU,RRU-LEE-DAS-0125-B,Ericsson,Ericsson Radio 4478,SN352013447,5G,,140,Active,2023-10-16,v22.5.9
1167,125,Antenna,ANT-LEE-DAS-0125-B,Ericsson,Ericsson AIR 6488,SN445382534,5G,,0,Active,2023-10-16,
1168,126,BBU,BBU-LEE-SMA-0126,Ericsson,Ericsson Baseband 6630,SN954222908,4G/5G,,475,Active,2019-08-25,v22.2.12
1169,126,gNodeB,gNB-LEE-SMA-0126-A,Ericsson,Ericsson Radio 4422,SN436601726,5G NR,n1,46,Active,2019-08-25,v24.3.92
1170,126,eNodeB,eNB-LEE-SMA-0126-A,Ericsson,Ericsson RBS 6301,SN599597507,4G LTE,B3,38,Active,2019-08-25,v20.0.58
1171,126,RRU,RRU-LEE-SMA-0126-A,Ericsson,Ericsson Radio 4478,SN633792439,4G/5G,,175,Active,2019-08-25,v21.1.21
1172,126,Antenna,ANT-LEE-SMA-0126-A,Ericsson,Ericsson AIR 6488,SN701251106,4G/5G,,0,Active,2019-08-25,
1173,126,gNodeB,gNB-LEE-SMA-0126-B,Ericsson,Ericsson Radio 4422,SN798230228,5G NR,n1,43,Active,2019-08-25,v22.7.90
1174,126,eNodeB,eNB-LEE-SMA-0126-B,Ericsson,Ericsson RBS 6601,SN832299454,4G LTE,B20,41,Active,2019-08-25,v16.4.72
