contract_id,customer_key,account_name,industry,region,contract_type,contract_start_date,contract_end_date,contract_term_months,annual_contract_value,total_contract_value,renewal_status,renewal_probability,days_to_renewal,competitor_threat,competitor_name,proposed_change,proposed_value_change,account_manager,nps_score,support_tickets_ytd,last_engagement_date
CON001085,2509,Enterprise Customer 1085,Transport,South West,UCaaS,2023-10-15,2024-10-09,12,115073.93,115073.93,Renewed,0.68,0,Medium,Three,,,AM009,5,45,2025-12-23
CON001086,2525,Enterprise Customer 1086,Manufacturing,Yorkshire,CCaaS,2023-03-17,2026-03-01,36,113615.27,340845.81,Renewed,0.91,31,None,,,,AM016,5,50,2025-12-22
CON001087,2841,Enterprise Customer 1087,Hospitality,South West,UCaaS,2023-02-22,2026-02-06,36,152061.16,456183.48,Renewed,0.87,8,Low,Virgin Media O2,,,AM001,2,25,2026-01-11
CON001088,2393,Enterprise Customer 1088,Technology,Wales,CCaaS,2023-09-17,2026-09-01,36,376661.55,1129984.65,Active,0.77,215,Medium,BT,,,AM036,7,1,2026-01-13
CON001089,1946,Enterprise Customer 1089,Financial Services,Yorkshire,UCaaS,2024-06-23,2025-06-18,12,470528.93,470528.93,Renewed,0.49,0,High,Vodafone,,,AM004,8,8,2025-11-29
CON001090,3846,Enterprise Customer 1090,Hospitality,West Midlands,Managed Security,2023-04-30,2028-04-03,60,170073.81,850369.05,Active,0.87,795,None,,,,AM018,1,25,2025-11-04
CON001091,3546,Enterprise Customer 1091,Retail,West Midlands,SIP Trunking,2024-12-19,2027-12-04,36,17198.34,51595.02,Active,0.53,674,High,TalkTalk,,,AM021,4,12,2025-11-11
CON001092,747,Enterprise Customer 1092,Hospitality,North West,UCaaS,2024-05-09,2027-04-24,36,427869.1,1283607.3,Active,0.92,450,None,,,,AM046,4,36,2025-11-11
CON001093,2368,Enterprise Customer 1093,Manufacturing,Northern Ireland,IoT Connectivity,2024-02-25,2025-02-19,12,78647.75,78647.75,Renewed,0.79,0,None,,,,AM037,4,9,2025-11-30
CON001094,3895,Enterprise Customer 1094,Government,Scotland,SIP Trunking,2024-01-02,2024-12-27,12,34655.77,34655.77,Renewed,0.66,0,Medium,Virgin Media O2,,,AM024,9,35,2025-12-16
CON001095,1137,Enterprise Customer 1095,Government,East,Managed Security,2024-11-22,2027-11-07,36,145039.19,435117.57,Active,0.78,647,None,,,,AM035,10,20,2025-11-22
CON001096,2795,Enterprise Customer 1096,Manufacturing,Yorkshire,UCaaS,2023-05-26,2024-05-20,12,203809.5,203809.5,Renewed,0.74,0,Medium,Vodafone,,,AM003,7,21,2025-11-03
CON001097,421,Enterprise Customer 1097,Technology,Yorkshire,UCaaS,2023-10-07,2028-09-10,60,27137.82,135689.1,Active,0.65,955,Medium,Three,,,AM010,4,47,2025-12-04
CON001098,2658,Enterprise Customer 1098,Technology,Wales,IoT Connectivity,2024-07-20,2029-06-24,60,31397.7,156988.5,Active,0.88,1242,Low,Three,,,AM006,5,49,2025-12-10
CON001099,412,Enterprise Customer 1099,Healthcare,Scotland,IoT Connectivity,2023-06-06,2025-05-26,24,8662.17,17324.34,Renewed,0.82,0,None,,,,AM016,3,41,2025-12-11
CON001100,1412,Enterprise Customer 1100,Transport,Wales,SIP Trunking,2024-08-25,2025-08-20,12,87399.6,87399.6,Renewed,0.7,0,Low,BT,,,AM029,10,32,2025-11-24
CON001101,353,Enterprise Customer 1101,Retail,South West,Business Broadband,2023-08-19,2024-08-13,12,11479.01,11479.01,Renewed,0.87,0,None,,,,AM049,10,40,2026-01-26
CON001102,4755,Enterprise Customer 1102,Retail,West Midlands,UCaaS,2024-06-02,2025-05-28,12,196276.21,196276.21,Renewed,0.8,0,Medium,Vodafone,,,AM006,4,11,2026-01-23
CON001103,610,Enterprise Customer 1103,Technology,Yorkshire,SIP Trunking,2024-03-09,2026-02-27,24,76748.1,153496.2,Pending Renewal,0.92,29,None,,Upgrade,28389.34,AM031,7,34,2026-01-14
CON001104,466,Enterprise Customer 1104,Education,Scotland,Managed Security,2024-06-17,2025-06-12,12,255916.86,255916.86,Renewed,0.94,0,None,,,,AM030,2,25,2025-11-05
CON001105,2957,Enterprise Customer 1105,Professional Services,West Midlands,CCaaS,2024-07-05,2029-06-09,60,409436.36,2047181.8,Active,0.91,1227,None,,,,AM038,9,40,2026-01-24
CON001106,2026,Enterprise Customer 1106,Healthcare,South West,UCaaS,2023-11-21,2024-11-15,12,194313.88,194313.88,Renewed,0.75,0,None,,,,AM048,10,1,2025-12-10
CON001107,4724,Enterprise Customer 1107,Technology,North West,SD-WAN,2024-10-15,2026-10-05,24,279915.37,559830.74,Active,0.5,249,High,Vodafone,,,AM009,3,44,2025-12-17
CON001108,2934,Enterprise Customer 1108,Healthcare,South West,SD-WAN,2023-03-07,2028-02-09,60,48865.33,244326.65,Active,0.71,741,Medium,Three,,,AM032,9,11,2025-12-16
CON001109,2610,Enterprise Customer 1109,Retail,Yorkshire,SIP Trunking,2023-01-18,2026-01-02,36,95690.05,287070.15,Renewed,0.85,0,Low,Virgin Media O2,,,AM018,4,18,2025-11-15
CON001110,3121,Enterprise Customer 1110,Hospitality,West Midlands,SD-WAN,2023-10-19,2028-09-22,60,269089.72,1345448.6,Active,0.97,967,Low,TalkTalk,,,AM012,4,16,2026-01-18
CON001111,4564,Enterprise Customer 1111,Education,East,Business Broadband,2024-10-02,2025-09-27,12,70146.96,70146.96,Renewed,0.86,0,Low,Virgin Media O2,,,AM011,8,35,2025-11-27
CON001112,3602,Enterprise Customer 1112,Technology,Northern Ireland,SIP Trunking,2024-06-29,2029-06-03,60,14696.05,73480.25,Active,0.79,1221,None,,,,AM031,6,45,2025-12-25
CON001113,3817,Enterprise Customer 1113,Healthcare,South West,SIP Trunking,2023-06-30,2026-06-14,36,79687.52,239062.56,Active,0.9,136,None,,,,AM049,1,16,2025-11-29
CON001114,4181,Enterprise Customer 1114,Financial Services,London,UCaaS,2024-06-18,2026-06-08,24,36691.5,73383.0,Active,0.86,130,None,,,,AM007,5,10,2025-12-15
CON001115,2603,Enterprise Customer 1115,Healthcare,South West,CCaaS,2024-10-19,2027-10-04,36,319149.81,957449.43,Active,0.77,613,None,,,,AM026,4,14,2025-11-08
CON001116,3991,Enterprise Customer 1116,Professional Services,London,UCaaS,2024-08-03,2025-07-29,12,37812.25,37812.25,Renewed,0.9,0,None,,,,AM016,7,1,2025-12-23
CON001117,374,Enterprise Customer 1117,Retail,Yorkshire,CCaaS,2023-05-31,2025-05-20,24,97397.47,194794.94,Renewed,0.64,0,Medium,Three,,,AM041,1,33,2025-12-19
CON001118,1312,Enterprise Customer 1118,Government,East,SD-WAN,2024-07-16,2027-07-01,36,291801.41,875404.23,Active,0.89,518,None,,,,AM037,5,46,2025-11-06
CON001119,984,Enterprise Customer 1119,Professional Services,East,CCaaS,2023-10-28,2024-10-22,12,400153.45,400153.45,Renewed,0.71,0,None,,,,AM003,5,37,2025-12-31
CON001120,2270,Enterprise Customer 1120,Education,London,UCaaS,2024-09-24,2026-09-14,24,399805.53,799611.06,Active,0.79,228,Medium,Three,,,AM016,1,12,2025-12-17
CON001121,687,Enterprise Customer 1121,Transport,Northern Ireland,UCaaS,2024-03-16,2027-03-01,36,399339.58,1198018.74,Active,0.65,396,Medium,BT,,,AM035,10,41,2025-12-16
CON001122,4359,Enterprise Customer 1122,Transport,Northern Ireland,SIP Trunking,2023-12-28,2024-12-22,12,19691.15,19691.15,Renewed,0.89,0,Low,Three,,,AM037,6,8,2026-01-07
CON001123,626,Enterprise Customer 1123,Financial Services,London,UCaaS,2024-06-04,2025-05-30,12,361128.82,361128.82,Renewed,0.62,0,High,Virgin Media O2,,,AM018,1,48,2025-12-08
CON001124,3177,Enterprise Customer 1124,Healthcare,West Midlands,CCaaS,2023-07-13,2025-07-02,24,46536.7,93073.4,Renewed,0.74,0,None,,,,AM049,10,8,2025-11-21
CON001125,1815,Enterprise Customer 1125,Manufacturing,Scotland,UCaaS,2024-10-31,2025-10-26,12,430017.33,430017.33,Renewed,0.91,0,None,,,,AM023,10,6,2025-12-18
CON001126,2146,Enterprise Customer 1126,Financial Services,Northern Ireland,Business Mobile,2023-11-14,2026-10-29,36,62485.15,187455.45,Active,0.82,273,Low,TalkTalk,,,AM008,6,27,2026-01-12
CON001127,4861,Enterprise Customer 1127,Financial Services,Wales,SD-WAN,2024-11-05,2029-10-10,60,34016.31,170081.55,Active,0.76,1350,None,,,,AM042,9,24,2026-01-20
CON001128,2975,Enterprise Customer 1128,Technology,Scotland,UCaaS,2023-06-09,2024-06-03,12,107018.99,107018.99,Renewed,0.76,0,None,,,,AM035,5,22,2026-01-21
CON001129,1465,Enterprise Customer 1129,Retail,North West,SIP Trunking,2024-07-17,2025-07-12,12,65649.1,65649.1,Renewed,0.73,0,None,,,,AM044,3,39,2025-11-25
CON001130,2777,Enterprise Customer 1130,Government,East,UCaaS,2024-09-06,2027-08-22,36,389666.34,1168999.02,Active,0.9,570,Low,BT,,,AM045,8,8,2025-11-02
CON001131,4857,Enterprise Customer 1131,Financial Services,London,Managed Security,2024-12-16,2026-12-06,24,141098.57,282197.14,Active,0.92,311,None,,,,AM008,2,23,2026-01-08
CON001132,654,Enterprise Customer 1132,Manufacturing,Scotland,SD-WAN,2024-05-29,2029-05-03,60,245286.6,1226433.0,Active,0.77,1190,None,,,,AM040,3,43,2025-10-30
CON001133,673,Enterprise Customer 1133,Government,East,CCaaS,2023-09-16,2028-08-20,60,156871.2,784356.0,Active,0.65,934,Medium,Three,,,AM004,7,12,2026-01-20
CON001134,2316,Enterprise Customer 1134,Manufacturing,Scotland,SD-WAN,2023-06-12,2024-06-06,12,210612.3,210612.3,Churned,0.84,0,Low,BT,,,AM024,4,36,2026-01-03
CON001135,4225,Enterprise Customer 1135,Transport,Wales,SIP Trunking,2023-04-17,2028-03-21,60,17051.1,85255.5,Active,0.84,782,None,,,,AM015,7,21,2025-11-15
CON001136,3628,Enterprise Customer 1136,Education,South East,IoT Connectivity,2023-06-01,2024-05-26,12,27057.7,27057.7,Renewed,0.85,0,Low,Three,,,AM020,2,27,2025-12-24
CON001137,2814,Enterprise Customer 1137,Technology,South East,UCaaS,2024-10-28,2029-10-02,60,70259.35,351296.75,Active,0.79,1342,Medium,Virgin Media O2,,,AM010,2,5,2025-12-31
CON001138,4312,Enterprise Customer 1138,Transport,Wales,Business Mobile,2023-09-17,2025-09-06,24,60282.39,120564.78,Renewed,0.77,0,None,,,,AM011,3,22,2025-11-10
CON001139,1876,Enterprise Customer 1139,Manufacturing,Northern Ireland,Managed Security,2023-09-29,2028-09-02,60,48213.97,241069.85,Active,0.68,947,High,Virgin Media O2,,,AM010,3,33,2025-11-22
CON001140,4569,Enterprise Customer 1140,Retail,South East,SIP Trunking,2023-03-29,2028-03-02,60,81093.57,405467.85,Active,0.65,763,Medium,Three,,,AM045,2,9,2025-11-23
CON001141,2634,Enterprise Customer 1141,Professional Services,Scotland,SIP Trunking,2024-07-07,2025-07-02,12,53600.61,53600.61,Churned,0.79,0,Low,BT,,,AM022,2,8,2025-11-01
CON001142,846,Enterprise Customer 1142,Retail,West Midlands,IoT Connectivity,2023-10-20,2026-10-04,36,75959.04,227877.12,Active,0.84,248,Medium,BT,,,AM005,10,27,2025-11-17
CON001143,336,Enterprise Customer 1143,Manufacturing,Scotland,Business Mobile,2023-11-25,2024-11-19,12,87287.71,87287.71,Renewed,0.74,0,None,,,,AM027,10,14,2025-12-13
CON001144,98,Enterprise Customer 1144,Manufacturing,East,Business Mobile,2023-09-20,2024-09-14,12,46312.38,46312.38,Renewed,0.74,0,None,,,,AM022,8,35,2025-10-31
CON001145,490,Enterprise Customer 1145,Manufacturing,West Midlands,UCaaS,2024-07-12,2025-07-07,12,112128.1,112128.1,Renewed,0.66,0,Medium,Virgin Media O2,,,AM018,8,9,2025-12-21
CON001146,3721,Enterprise Customer 1146,Financial Services,South West,UCaaS,2023-01-29,2025-01-18,24,314981.14,629962.28,Renewed,0.57,0,High,Virgin Media O2,,,AM038,2,35,2025-12-08
CON001147,3202,Enterprise Customer 1147,Government,Northern Ireland,UCaaS,2023-04-30,2028-04-03,60,174154.66,870773.3,Active,0.64,795,High,Vodafone,,,AM030,8,37,2025-11-11
CON001148,256,Enterprise Customer 1148,Healthcare,North West,UCaaS,2023-05-29,2028-05-02,60,62981.35,314906.75,Active,0.75,824,None,,,,AM040,4,5,2026-01-04
CON001149,4925,Enterprise Customer 1149,Manufacturing,East,IoT Connectivity,2024-08-16,2025-08-11,12,21640.51,21640.51,Renewed,0.82,0,None,,,,AM016,6,20,2025-11-26
CON001150,3132,Enterprise Customer 1150,Government,Northern Ireland,CCaaS,2023-04-26,2026-04-10,36,38226.36,114679.08,In Negotiation,0.93,71,Low,BT,Same,0.0,AM008,10,44,2026-01-17
CON001151,2619,Enterprise Customer 1151,Education,North West,IoT Connectivity,2024-06-08,2026-05-29,24,54417.24,108834.48,Active,0.78,120,Medium,BT,,,AM047,3,24,2025-11-14
CON001152,2088,Enterprise Customer 1152,Healthcare,Scotland,UCaaS,2023-01-12,2024-01-07,12,427383.34,427383.34,Renewed,0.71,0,Low,TalkTalk,,,AM037,1,6,2025-11-02
CON001153,3190,Enterprise Customer 1153,Education,West Midlands,SD-WAN,2023-04-03,2026-03-18,36,26829.71,80489.13,In Negotiation,0.85,48,Low,Vodafone,Upgrade,9056.94,AM035,7,7,2025-12-02
CON001154,3086,Enterprise Customer 1154,Manufacturing,South West,Managed Security,2024-03-16,2026-03-06,24,84063.01,168126.02,In Negotiation,0.75,36,None,,Downgrade,-23066.51,AM035,6,40,2026-01-26
CON001155,1941,Enterprise Customer 1155,Manufacturing,West Midlands,UCaaS,2023-03-18,2024-03-12,12,360547.98,360547.98,Renewed,0.65,0,High,TalkTalk,,,AM004,5,43,2025-11-15
CON001156,2846,Enterprise Customer 1156,Transport,Yorkshire,Business Mobile,2024-01-17,2028-12-21,60,46158.9,230794.5,Active,0.85,1057,Low,Vodafone,,,AM018,3,37,2026-01-07
CON001157,4850,Enterprise Customer 1157,Retail,Northern Ireland,Business Mobile,2024-04-05,2029-03-10,60,6821.69,34108.45,Active,0.65,1136,Medium,Virgin Media O2,,,AM024,5,11,2026-01-25
CON001158,160,Enterprise Customer 1158,Financial Services,London,CCaaS,2024-08-10,2029-07-15,60,487322.69,2436613.45,Active,0.59,1263,High,TalkTalk,,,AM036,8,49,2025-12-01
CON001159,2645,Enterprise Customer 1159,Financial Services,North West,UCaaS,2024-09-30,2027-09-15,36,416502.76,1249508.28,Active,0.93,594,Low,Three,,,AM022,8,26,2025-12-26
CON001160,4872,Enterprise Customer 1160,Transport,Yorkshire,SD-WAN,2024-03-08,2025-03-03,12,24765.04,24765.04,Renewed,0.78,0,None,,,,AM028,5,29,2025-12-11
CON001161,315,Enterprise Customer 1161,Healthcare,Scotland,Managed Security,2023-09-01,2026-08-16,36,271728.27,815184.81,Active,0.81,199,Low,Vodafone,,,AM013,4,3,2025-12-08
CON001162,2626,Enterprise Customer 1162,Technology,North West,Business Broadband,2024-11-29,2025-11-24,12,66494.04,66494.04,In Negotiation,0.8,0,Low,BT,Upgrade,7711.72,AM039,7,9,2026-01-22
CON001163,3371,Enterprise Customer 1163,Transport,Yorkshire,Managed Security,2023-01-19,2027-12-24,60,229245.62,1146228.1,Active,0.86,694,None,,,,AM008,2,35,2025-12-13
CON001164,602,Enterprise Customer 1164,Professional Services,South West,UCaaS,2023-02-05,2024-01-31,12,322183.89,322183.89,Churned,0.79,0,None,,,,AM043,5,40,2025-12-09
CON001165,89,Enterprise Customer 1165,Financial Services,South West,SIP Trunking,2023-09-06,2026-08-21,36,36976.35,110929.05,Active,0.55,204,High,TalkTalk,,,AM035,2,1,2026-01-09
CON001166,4882,Enterprise Customer 1166,Manufacturing,North West,IoT Connectivity,2023-06-19,2025-06-08,24,82911.88,165823.76,Renewed,0.64,0,Medium,BT,,,AM015,9,46,2025-12-31
CON001167,2235,Enterprise Customer 1167,Healthcare,North West,IoT Connectivity,2023-04-10,2026-03-25,36,73426.55,220279.65,In Negotiation,0.84,55,Low,TalkTalk,Upgrade,25740.26,AM001,3,36,2026-01-01
CON001168,2401,Enterprise Customer 1168,Education,London,CCaaS,2023-08-19,2026-08-03,36,83166.43,249499.29,Active,0.87,186,Low,TalkTalk,,,AM032,3,31,2025-12-27
CON001169,2645,Enterprise Customer 1169,Healthcare,Scotland,Managed Security,2023-02-19,2024-02-14,12,42735.46,42735.46,Renewed,0.84,0,None,,,,AM033,3,46,2026-01-03
CON001170,2016,Enterprise Customer 1170,Professional Services,West Midlands,IoT Connectivity,2023-09-25,2025-09-14,24,99906.19,199812.38,Renewed,0.93,0,None,,,,AM014,7,12,2025-12-20
CON001171,4852,Enterprise Customer 1171,Technology,Yorkshire,IoT Connectivity,2024-02-03,2025-01-28,12,35889.85,35889.85,Churned,0.87,0,None,,,,AM033,1,18,2025-11-30
CON001172,453,Enterprise Customer 1172,Transport,West Midlands,UCaaS,2023-01-06,2025-12-21,36,115214.37,345643.11,Churned,0.83,0,None,,,,AM025,5,48,2025-11-13
CON001173,4208,Enterprise Customer 1173,Government,London,SD-WAN,2023-06-26,2026-06-10,36,86035.65,258106.95,Active,0.85,132,None,,,,AM039,2,44,2025-12-20
CON001174,512,Enterprise Customer 1174,Manufacturing,South East,Business Mobile,2023-05-17,2025-05-06,24,68495.34,136990.68,Renewed,0.77,0,Medium,Vodafone,,,AM009,5,49,2026-01-20
CON001175,3173,Enterprise Customer 1175,Government,South West,Managed Security,2023-07-27,2025-07-16,24,284260.62,568521.24,Renewed,0.84,0,None,,,,AM049,9,25,2025-11-05
CON001176,3352,Enterprise Customer 1176,Education,North West,UCaaS,2024-10-15,2025-10-10,12,225624.1,225624.1,Renewed,0.76,0,None,,,,AM046,4,28,2025-12-19
CON001177,1016,Enterprise Customer 1177,Education,West Midlands,Business Broadband,2023-09-10,2026-08-25,36,50471.15,151413.45,Active,0.68,208,Medium,Three,,,AM007,7,16,2025-12-02
CON001178,1047,Enterprise Customer 1178,Government,Northern Ireland,CCaaS,2023-02-12,2025-02-01,24,200804.74,401609.48,Churned,0.52,0,High,Three,,,AM023,10,22,2026-01-14
CON001179,56,Enterprise Customer 1179,Professional Services,Yorkshire,SD-WAN,2024-12-19,2029-11-23,60,157689.37,788446.85,Active,0.78,1394,Low,BT,,,AM014,6,42,2026-01-04
CON001180,88,Enterprise Customer 1180,Manufacturing,Northern Ireland,Business Mobile,2023-08-17,2026-08-01,36,13097.62,39292.86,Active,0.68,184,Medium,BT,,,AM008,9,41,2025-11-27
CON001181,1134,Enterprise Customer 1181,Transport,Yorkshire,CCaaS,2023-03-04,2026-02-16,36,197764.85,593294.55,Pending Renewal,0.59,18,High,Three,Add Services,97838.52,AM013,4,35,2025-11-21
CON001182,1340,Enterprise Customer 1182,Transport,West Midlands,SIP Trunking,2024-06-02,2027-05-18,36,18836.41,56509.23,Active,0.94,474,None,,,,AM001,7,14,2025-12-25
CON001183,1204,Enterprise Customer 1183,Technology,South West,Business Mobile,2024-08-05,2027-07-21,36,35656.38,106969.14,Active,0.91,538,None,,,,AM043,3,12,2025-12-06
CON001184,4364,Enterprise Customer 1184,Government,Yorkshire,SD-WAN,2023-01-14,2025-12-29,36,281538.12,844614.36,In Negotiation,0.88,0,None,,Same,0.0,AM047,6,21,2025-12-08
CON001185,3171,Enterprise Customer 1185,Technology,Wales,Business Mobile,2024-01-06,2025-12-26,24,8461.77,16923.54,Renewed,0.92,0,Low,TalkTalk,,,AM002,9,38,2026-01-03
CON001186,2577,Enterprise Customer 1186,Technology,Scotland,Managed Security,2024-07-17,2025-07-12,12,277066.33,277066.33,Renewed,0.79,0,Low,Virgin Media O2,,,AM038,9,45,2025-11-18
CON001187,2077,Enterprise Customer 1187,Manufacturing,South West,UCaaS,2023-06-24,2024-06-18,12,388418.48,388418.48,Churned,0.56,0,High,TalkTalk,,,AM001,1,21,2025-11-20
CON001188,2346,Enterprise Customer 1188,Government,East,SD-WAN,2023-03-12,2025-03-01,24,58084.44,116168.88,Churned,0.66,0,Medium,TalkTalk,,,AM001,5,36,2025-12-25
CON001189,592,Enterprise Customer 1189,Transport,Yorkshire,SD-WAN,2023-09-03,2028-08-07,60,291272.68,1456363.4,Active,0.99,921,Low,Three,,,AM018,10,37,2025-11-17
CON001190,4140,Enterprise Customer 1190,Government,Scotland,CCaaS,2024-01-08,2025-01-02,12,449716.78,449716.78,Renewed,0.72,0,Low,Vodafone,,,AM046,6,7,2025-12-10
CON001191,3477,Enterprise Customer 1191,Hospitality,East,UCaaS,2024-05-05,2025-04-30,12,448016.88,448016.88,Renewed,0.75,0,Medium,BT,,,AM007,1,5,2025-11-19
CON001192,3976,Enterprise Customer 1192,Government,East,Business Mobile,2024-12-30,2025-12-25,12,38213.17,38213.17,Renewed,0.93,0,Low,Vodafone,,,AM010,1,43,2025-10-30
CON001193,216,Enterprise Customer 1193,Healthcare,Wales,SD-WAN,2023-08-04,2026-07-19,36,223619.5,670858.5,Active,0.84,171,Low,Vodafone,,,AM005,9,38,2025-12-05
CON001194,3121,Enterprise Customer 1194,Financial Services,South West,SD-WAN,2023-12-22,2026-12-06,36,78091.29,234273.87,Active,0.55,311,High,Virgin Media O2,,,AM047,1,29,2026-01-04
CON001195,4755,Enterprise Customer 1195,Professional Services,Northern Ireland,IoT Connectivity,2023-01-08,2024-01-03,12,62898.95,62898.95,Renewed,0.71,0,Low,BT,,,AM013,2,38,2026-01-03
CON001196,258,Enterprise Customer 1196,Manufacturing,South West,SIP Trunking,2023-10-24,2026-10-08,36,25262.92,75788.76,Active,0.56,252,High,Vodafone,,,AM004,1,3,2026-01-27
CON001197,3291,Enterprise Customer 1197,Professional Services,Yorkshire,UCaaS,2023-04-28,2026-04-12,36,382297.02,1146891.06,Renewed,0.64,73,High,Virgin Media O2,,,AM040,8,0,2025-11-10
CON001198,2219,Enterprise Customer 1198,Retail,Scotland,Managed Security,2023-01-24,2027-12-29,60,291514.48,1457572.4,Active,0.9,699,None,,,,AM044,8,5,2025-12-22
CON001199,4708,Enterprise Customer 1199,Retail,London,Managed Security,2023-05-25,2026-05-09,36,229261.69,687785.07,Active,0.8,100,Medium,TalkTalk,,,AM046,8,28,2025-11-22
CON001200,2818,Enterprise Customer 1200,Retail,South East,IoT Connectivity,2024-02-10,2025-02-04,12,93366.38,93366.38,Renewed,0.7,0,Low,Vodafone,,,AM036,6,33,2025-12-28
CON001201,3010,Enterprise Customer 1201,Education,London,Business Mobile,2024-11-10,2025-11-05,12,75888.95,75888.95,In Negotiation,0.75,0,Low,TalkTalk,Same,0.0,AM001,7,31,2025-11-04
CON001202,4939,Enterprise Customer 1202,Transport,Scotland,Managed Security,2023-08-02,2025-07-22,24,54678.41,109356.82,Renewed,0.86,0,None,,,,AM048,10,12,2025-11-18
CON001203,1672,Enterprise Customer 1203,Healthcare,Scotland,Business Mobile,2024-09-06,2027-08-22,36,83298.27,249894.81,Active,0.69,570,Medium,TalkTalk,,,AM023,4,48,2026-01-18
CON001204,4247,Enterprise Customer 1204,Government,South West,Business Broadband,2024-01-06,2026-12-21,36,59378.41,178135.23,Active,0.77,326,Medium,BT,,,AM009,3,46,2025-11-21
CON001205,3688,Enterprise Customer 1205,Financial Services,West Midlands,Managed Security,2023-01-13,2025-12-28,36,87512.33,262536.99,Renewed,0.9,0,Low,Three,,,AM023,7,18,2025-12-26
CON001206,1863,Enterprise Customer 1206,Transport,Yorkshire,UCaaS,2023-07-27,2025-07-16,24,228428.18,456856.36,Renewed,0.83,0,Low,Virgin Media O2,,,AM026,3,20,2025-11-12
CON001207,1411,Enterprise Customer 1207,Technology,South West,SIP Trunking,2024-04-01,2029-03-06,60,23412.96,117064.8,Active,0.8,1132,Low,Vodafone,,,AM025,7,9,2026-01-21
CON001208,3942,Enterprise Customer 1208,Manufacturing,East,Managed Security,2023-07-14,2025-07-03,24,256251.41,512502.82,Renewed,0.86,0,Low,BT,,,AM029,5,7,2025-11-24
CON001209,2394,Enterprise Customer 1209,Hospitality,South West,SD-WAN,2024-02-23,2026-02-12,24,200791.58,401583.16,Renewed,0.8,14,None,,,,AM005,4,10,2026-01-24
CON001210,4676,Enterprise Customer 1210,Retail,Scotland,SIP Trunking,2023-06-24,2025-06-13,24,57441.45,114882.9,Churned,0.78,0,None,,,,AM032,8,20,2026-01-14
CON001211,1067,Enterprise Customer 1211,Education,Northern Ireland,Managed Security,2024-03-26,2029-02-28,60,159441.88,797209.4,Active,0.79,1126,None,,,,AM005,10,17,2025-12-11
CON001212,2769,Enterprise Customer 1212,Government,West Midlands,Managed Security,2024-01-14,2025-01-08,12,232005.83,232005.83,Churned,0.61,0,Medium,TalkTalk,,,AM008,4,1,2025-12-10
CON001213,497,Enterprise Customer 1213,Education,East,SIP Trunking,2024-01-07,2026-12-22,36,29322.28,87966.84,Active,0.88,327,None,,,,AM041,4,6,2025-12-08
CON001214,3805,Enterprise Customer 1214,Manufacturing,North West,IoT Connectivity,2023-09-02,2026-08-17,36,39538.67,118616.01,Active,0.76,200,Low,BT,,,AM033,3,18,2025-11-09
CON001215,3245,Enterprise Customer 1215,Healthcare,South West,CCaaS,2023-12-05,2024-11-29,12,335564.14,335564.14,Renewed,0.75,0,None,,,,AM031,3,3,2025-11-13
CON001216,3438,Enterprise Customer 1216,Financial Services,Yorkshire,Managed Security,2023-07-29,2025-07-18,24,114300.87,228601.74,Renewed,0.86,0,None,,,,AM020,6,0,2025-12-21
CON001217,3944,Enterprise Customer 1217,Hospitality,South West,Managed Security,2024-03-26,2025-03-21,12,203219.02,203219.02,Churned,0.8,0,Low,Three,,,AM020,2,4,2025-11-14
CON001218,1613,Enterprise Customer 1218,Healthcare,East,CCaaS,2023-11-20,2026-11-04,36,134440.48,403321.44,Active,0.83,279,Medium,BT,,,AM025,4,15,2025-12-27
CON001219,2848,Enterprise Customer 1219,Retail,East,CCaaS,2023-12-23,2028-11-26,60,106565.41,532827.05,Active,0.68,1032,Medium,BT,,,AM036,5,31,2025-12-19
CON001220,2978,Enterprise Customer 1220,Education,Scotland,CCaaS,2024-08-09,2026-07-30,24,425628.77,851257.54,Active,0.75,182,None,,,,AM044,8,31,2025-12-12
CON001221,4349,Enterprise Customer 1221,Government,West Midlands,UCaaS,2023-09-12,2026-08-27,36,272038.71,816116.13,Active,0.97,210,None,,,,AM037,4,16,2025-11-30
CON001222,2809,Enterprise Customer 1222,Education,North West,CCaaS,2023-03-24,2026-03-08,36,291582.89,874748.67,In Negotiation,0.76,38,None,,Upgrade,56858.87,AM008,8,45,2025-11-04
CON001223,2984,Enterprise Customer 1223,Manufacturing,Northern Ireland,Managed Security,2023-10-18,2025-10-07,24,275361.59,550723.18,Renewed,0.78,0,Medium,Three,,,AM036,5,50,2025-11-25
CON001224,719,Enterprise Customer 1224,Education,North West,Managed Security,2024-06-13,2025-06-08,12,198877.42,198877.42,Renewed,0.9,0,None,,,,AM002,10,42,2025-11-06
CON001225,165,Enterprise Customer 1225,Manufacturing,Northern Ireland,UCaaS,2023-04-03,2026-03-18,36,353993.49,1061980.47,Pending Renewal,0.62,48,High,BT,Downgrade,-80147.99,AM024,7,29,2025-11-17
CON001226,2420,Enterprise Customer 1226,Professional Services,Northern Ireland,CCaaS,2024-04-22,2026-04-12,24,245282.94,490565.88,In Negotiation,0.79,73,None,,Downgrade,-33306.43,AM002,9,24,2026-01-24
CON001227,1379,Enterprise Customer 1227,Healthcare,South East,Business Broadband,2024-06-20,2025-06-15,12,66681.59,66681.59,Renewed,0.72,0,Medium,Vodafone,,,AM040,9,28,2026-01-12
