range_id,prefix,range_start,range_end,block_size,number_type,status,allocated_date,utilization_pct
371,0131,0131607098,0131617097,10000,Geographic,Active,2020-10-27,86.1
372,0151,0151158420,0151158519,100,Geographic,Reserved,2012-10-31,73.0
373,0117,0117316486,0117326485,10000,Geographic,Active,2016-10-12,60.6
374,0161,0161874026,0161884025,10000,Geographic,Quarantine,2012-09-04,35.8
375,0208,0208362308,0208363307,1000,Geographic,Active,2015-11-10,24.4
376,0131,0131168011,0131178010,10000,Geographic,Active,2023-06-10,77.5
377,0141,0141489738,0141490737,1000,Geographic,Active,2022-05-15,72.8
378,07800,07800313522,07800313621,100,Mobile,Active,2021-05-08,37.3
379,0141,0141176561,0141176660,100,Geographic,Active,2016-08-06,42.8
380,0113,0113721263,0113731262,10000,Geographic,Active,2016-07-17,90.0
381,07700,07700611597,07700612596,1000,Mobile,Quarantine,2013-01-10,23.0
382,07700,07700260092,07700260191,100,Mobile,Active,2022-05-20,93.1
383,0141,0141239336,0141240335,1000,Geographic,Reserved,2023-03-29,79.3
384,07900,07900562199,07900562298,100,Mobile,Active,2024-12-24,47.9
385,0151,0151148673,0151148772,100,Geographic,Active,2010-04-15,25.6
386,07900,07900845742,07900845841,100,Mobile,Active,2023-03-26,55.4
387,07900,07900563260,07900563359,100,Mobile,Quarantine,2022-03-04,49.1
388,0208,0208750081,0208760080,10000,Geographic,Active,2024-09-20,77.8
389,07700,07700374444,07700374543,100,Mobile,Active,2011-10-15,47.8
390,0117,0117147138,0117147237,100,Geographic,Active,2021-09-26,73.2
391,0117,0117214807,0117224806,10000,Geographic,Active,2011-04-18,81.2
392,0113,0113497753,0113497852,100,Geographic,Active,2024-11-18,49.3
393,07700,07700106603,07700116602,10000,Mobile,Active,2010-06-24,5.0
394,0151,0151233154,0151243153,10000,Geographic,Reserved,2016-05-24,61.5
395,0208,0208245773,0208255772,10000,Geographic,Quarantine,2017-10-22,31.0
396,0121,0121644323,0121645322,1000,Geographic,Active,2016-05-12,43.1
397,0121,0121728657,0121728756,100,Geographic,Active,2024-12-01,16.6
398,0161,0161785019,0161785118,100,Geographic,Active,2018-06-30,53.7
399,0141,0141697225,0141697324,100,Geographic,Quarantine,2022-10-28,21.2
400,0131,0131660542,0131660641,100,Geographic,Active,2019-12-11,55.7
401,0141,0141338255,0141339254,1000,Geographic,Active,2011-05-17,31.5
402,0208,0208597997,0208598996,1000,Geographic,Reserved,2021-07-03,63.8
403,0141,0141654741,0141654840,100,Geographic,Quarantine,2021-08-09,60.5
404,0131,0131450854,0131460853,10000,Geographic,Quarantine,2023-08-28,47.5
405,07700,07700574127,07700575126,1000,Mobile,Reserved,2015-01-19,91.3
406,07800,07800289368,07800290367,1000,Mobile,Reserved,2016-05-20,72.9
407,0151,0151595317,0151596316,1000,Geographic,Active,2022-01-12,76.7
408,0151,0151468242,0151469241,1000,Geographic,Active,2019-08-11,35.6
409,0141,0141799195,0141809194,10000,Geographic,Active,2015-06-12,68.6
410,0141,0141387635,0141387734,100,Geographic,Quarantine,2020-04-03,84.9
411,0131,0131170411,0131180410,10000,Geographic,Reserved,2018-06-29,10.6
412,0131,0131615200,0131625199,10000,Geographic,Quarantine,2022-10-12,62.0
413,0208,0208790838,0208790937,100,Geographic,Active,2022-09-02,97.7
414,07800,07800194019,07800194118,100,Mobile,Active,2022-04-05,61.8
415,0207,0207835362,0207835461,100,Geographic,Active,2022-10-21,13.7
416,0121,0121877264,0121878263,1000,Geographic,Active,2015-01-17,75.8
417,0208,0208289396,0208289495,100,Geographic,Active,2019-08-07,57.0
418,0117,0117447638,0117448637,1000,Geographic,Reserved,2014-02-13,58.4
419,0207,0207260010,0207261009,1000,Geographic,Reserved,2017-12-27,80.5
420,0141,0141617247,0141617346,100,Geographic,Quarantine,2016-11-17,26.2
421,0121,0121653964,0121663963,10000,Geographic,Reserved,2016-06-06,71.2
422,07800,07800817449,07800827448,10000,Mobile,Quarantine,2023-02-28,36.6
423,0141,0141150527,0141160526,10000,Geographic,Quarantine,2010-12-08,59.4
424,0208,0208660093,0208670092,10000,Geographic,Active,2021-04-19,81.1
425,07900,07900441396,07900451395,10000,Mobile,Active,2021-11-17,20.5
426,0161,0161458286,0161458385,100,Geographic,Quarantine,2015-05-12,21.4
427,0161,0161895239,0161896238,1000,Geographic,Active,2013-08-18,39.6
428,0208,0208766575,0208766674,100,Geographic,Active,2010-04-19,27.4
429,0208,0208870017,0208880016,10000,Geographic,Active,2016-02-08,85.9
430,0121,0121314414,0121314513,100,Geographic,Reserved,2017-07-29,4.7
431,07900,07900438723,07900448722,10000,Mobile,Active,2016-12-06,18.4
432,0161,0161254961,0161255960,1000,Geographic,Active,2021-08-30,50.1
433,07900,07900293940,07900294039,100,Mobile,Quarantine,2019-05-11,13.2
434,0117,0117318637,0117319636,1000,Geographic,Quarantine,2017-08-22,41.0
435,0208,0208237105,0208237204,100,Geographic,Active,2013-11-04,10.4
436,0117,0117214081,0117224080,10000,Geographic,Active,2020-10-27,97.8
437,0141,0141644858,0141644957,100,Geographic,Active,2015-08-18,40.7
438,0113,0113643213,0113644212,1000,Geographic,Active,2024-08-21,42.7
439,07700,07700513517,07700513616,100,Mobile,Reserved,2020-05-08,55.6
440,0151,0151315966,0151316065,100,Geographic,Reserved,2013-10-29,40.7
441,0207,0207239765,0207239864,100,Geographic,Quarantine,2019-12-12,56.9
442,0151,0151652644,0151653643,1000,Geographic,Active,2024-02-10,61.5
443,0121,0121823842,0121823941,100,Geographic,Active,2019-03-13,59.2
444,0207,0207161913,0207162012,100,Geographic,Active,2016-10-01,53.8
445,07800,07800826559,07800826658,100,Mobile,Active,2023-10-30,88.1
446,0117,0117527163,0117537162,10000,Geographic,Active,2018-05-22,76.0
447,07900,07900644984,07900645983,1000,Mobile,Active,2021-02-26,86.6
448,0113,0113370487,0113370586,100,Geographic,Reserved,2015-09-23,0.4
449,0121,0121295623,0121305622,10000,Geographic,Reserved,2018-04-07,9.5
450,0207,0207882979,0207883078,100,Geographic,Active,2011-03-04,27.1
451,07700,07700144140,07700144239,100,Mobile,Reserved,2014-01-05,70.8
452,0141,0141833248,0141833347,100,Geographic,Reserved,2019-09-05,92.9
453,0113,0113290996,0113291095,100,Geographic,Quarantine,2024-04-05,65.3
454,0121,0121492299,0121492398,100,Geographic,Reserved,2014-07-13,91.7
455,0207,0207300851,0207300950,100,Geographic,Active,2024-03-12,85.5
456,0113,0113316142,0113317141,1000,Geographic,Reserved,2022-03-27,14.7
457,0207,0207201025,0207211024,10000,Geographic,Reserved,2013-11-29,16.0
458,0161,0161556881,0161566880,10000,Geographic,Quarantine,2016-04-28,86.6
459,0208,0208204880,0208205879,1000,Geographic,Active,2021-04-16,55.0
460,0141,0141384318,0141385317,1000,Geographic,Active,2024-03-31,28.7
461,0207,0207673982,0207683981,10000,Geographic,Reserved,2021-02-21,45.9
462,07800,07800290237,07800290336,100,Mobile,Active,2016-11-09,31.6
463,07900,07900630177,07900631176,1000,Mobile,Quarantine,2024-11-28,94.2
464,0121,0121821464,0121822463,1000,Geographic,Reserved,2012-04-11,90.5
465,0121,0121874963,0121884962,10000,Geographic,Active,2014-07-22,17.0
466,0131,0131498490,0131508489,10000,Geographic,Active,2017-04-12,73.4
467,07800,07800641928,07800651927,10000,Mobile,Reserved,2012-10-18,72.4
468,0117,0117173676,0117174675,1000,Geographic,Active,2014-02-16,95.2
469,0113,0113104366,0113114365,10000,Geographic,Active,2021-03-27,47.8
470,0141,0141632452,0141633451,1000,Geographic,Active,2023-02-07,32.6
471,0207,0207474419,0207484418,10000,Geographic,Reserved,2018-09-10,39.0
472,0207,0207412856,0207413855,1000,Geographic,Active,2011-10-30,53.0
473,07700,07700252665,07700262664,10000,Mobile,Quarantine,2016-10-30,20.2
474,0141,0141667724,0141677723,10000,Geographic,Quarantine,2015-02-09,11.9
475,0141,0141276444,0141276543,100,Geographic,Active,2017-10-25,27.8
476,0121,0121330994,0121340993,10000,Geographic,Reserved,2022-07-08,80.2
477,0207,0207326095,0207326194,100,Geographic,Active,2016-07-03,6.4
478,0117,0117594410,0117594509,100,Geographic,Reserved,2019-03-09,33.3
479,0207,0207856561,0207857560,1000,Geographic,Active,2013-05-20,84.4
480,0113,0113230833,0113231832,1000,Geographic,Quarantine,2017-03-12,39.3
481,0141,0141455791,0141456790,1000,Geographic,Reserved,2018-03-18,52.9
482,07900,07900196202,07900206201,10000,Mobile,Active,2016-08-21,8.9
483,0121,0121535964,0121536063,100,Geographic,Reserved,2023-02-10,9.7
484,0117,0117430380,0117440379,10000,Geographic,Active,2010-04-12,14.7
485,0121,0121369446,0121379445,10000,Geographic,Active,2019-01-06,72.3
486,0208,0208511455,0208512454,1000,Geographic,Active,2023-02-17,71.3
487,0113,0113176371,0113176470,100,Geographic,Active,2018-09-14,23.3
488,0161,0161392569,0161392668,100,Geographic,Reserved,2016-11-29,56.0
489,0208,0208503657,0208504656,1000,Geographic,Active,2023-10-30,82.3
490,0161,0161868113,0161869112,1000,Geographic,Active,2016-05-11,49.6
491,0121,0121479836,0121480835,1000,Geographic,Active,2015-07-03,82.4
492,07800,07800318054,07800319053,1000,Mobile,Active,2018-06-30,59.6
493,0161,0161179313,0161180312,1000,Geographic,Active,2017-08-14,89.2
494,0141,0141185464,0141185563,100,Geographic,Quarantine,2024-03-09,80.7
495,0141,0141314018,0141314117,100,Geographic,Active,2017-08-02,72.9
496,0207,0207351378,0207352377,1000,Geographic,Active,2014-12-04,36.5
497,0207,0207452013,0207462012,10000,Geographic,Quarantine,2022-08-16,90.0
498,0207,0207149182,0207149281,100,Geographic,Active,2018-06-17,36.9
499,07900,07900612199,07900612298,100,Mobile,Reserved,2023-04-20,44.7
500,0161,0161130620,0161130719,100,Geographic,Active,2016-12-24,64.2
