survey_id,employee_id,department,work_location,survey_date,survey_month,survey_type,engagement_score,satisfaction_score,manager_rating,career_growth_score,work_life_balance,compensation_satisfaction,would_recommend,enps_score,comments_provided
968,EMP1473,Marketing,Manchester Office,2026-01-21,2026-01,Annual Engagement,4,2,3,3,3,2,True,-1,False
969,EMP0729,HR,London HQ,2026-02-28,2026-02,Annual Engagement,4,5,5,1,5,3,False,12,False
970,EMP1156,Marketing,Cardiff Office,2025-06-12,2025-06,Annual Engagement,2,2,3,3,4,4,False,-76,True
971,EMP1631,HR,Birmingham Office,2025-06-13,2025-06,Onboarding Survey,2,4,1,2,1,2,True,-3,False
972,EMP0670,Customer Service,Glasgow Contact Centre,2025-09-10,2025-09,Pulse Survey,5,3,2,1,4,4,True,24,False
973,EMP0486,IT,London HQ,2025-10-16,2025-10,Annual Engagement,4,5,4,5,2,5,True,80,True
974,EMP0135,Retail Operations,SnowTelco London Shopping 32,2025-03-01,2025-03,Pulse Survey,3,3,5,1,5,3,False,59,False
975,EMP0253,Customer Service,Manchester Contact Centre,2025-01-26,2025-01,Pulse Survey,3,3,1,4,1,3,True,95,True
976,EMP1929,HR,Manchester Office,2025-09-14,2025-09,Annual Engagement,3,3,5,5,1,1,True,56,False
977,EMP0093,Sales - B2B,Cardiff Office,2025-04-21,2025-04,Annual Engagement,4,3,4,2,1,4,True,60,True
978,EMP1165,Retail Operations,SnowTelco Liverpool Flagship,2025-11-13,2025-11,Pulse Survey,4,4,4,4,5,2,True,-64,True
979,EMP1942,Supply Chain,Birmingham Office,2025-03-30,2025-03,Onboarding Survey,4,3,5,4,5,5,True,-17,False
980,EMP0405,Customer Service,London Contact Centre,2025-12-24,2025-12,Exit Survey,4,3,5,2,5,4,False,93,False
981,EMP0741,Product Management,Cardiff Office,2025-03-01,2025-03,Annual Engagement,2,1,2,3,1,2,True,68,False
982,EMP0238,IT,London HQ,2025-08-29,2025-08,Pulse Survey,3,1,5,2,4,4,True,-96,True
983,EMP1695,Sales - Consumer,London HQ,2025-10-24,2025-10,Annual Engagement,4,1,4,5,1,4,True,66,False
984,EMP0052,Retail Operations,SnowTelco Cambridge Standard,2025-05-17,2025-05,Onboarding Survey,5,2,5,2,2,3,True,99,False
985,EMP0553,Customer Service,Manchester Contact Centre,2025-12-31,2025-12,Pulse Survey,5,4,3,5,5,4,True,-83,True
986,EMP1288,Marketing,Manchester Office,2025-12-20,2025-12,Annual Engagement,5,1,1,3,3,2,True,-56,False
987,EMP1061,Customer Service,Manchester Contact Centre,2025-07-25,2025-07,Annual Engagement,1,2,3,5,5,1,True,21,False
988,EMP0730,Sales - B2B,Cardiff Office,2026-01-31,2026-01,Annual Engagement,5,1,4,4,2,3,False,-16,False
989,EMP0338,Network Engineering,Manchester Office,2025-12-19,2025-12,Annual Engagement,5,1,1,5,3,1,True,62,True
990,EMP0685,Customer Service,Manchester Contact Centre,2025-04-07,2025-04,Pulse Survey,4,2,4,1,5,5,True,79,True
991,EMP0907,IT,Cardiff Office,2025-11-25,2025-11,Annual Engagement,4,5,3,1,2,3,False,-69,True
992,EMP0929,Customer Service,London Contact Centre,2025-04-13,2025-04,Annual Engagement,5,2,2,1,2,2,False,47,False
993,EMP1357,Supply Chain,Edinburgh Office,2025-05-06,2025-05,Pulse Survey,3,4,1,2,5,5,True,11,False
994,EMP0676,Supply Chain,Birmingham Office,2025-10-15,2025-10,Annual Engagement,5,2,3,2,3,1,False,90,False
995,EMP1626,Finance,Manchester Office,2025-04-02,2025-04,Annual Engagement,4,4,5,4,1,2,True,51,False
996,EMP1266,Retail Operations,SnowTelco Aberdeen Airport 2,2026-01-02,2026-01,Pulse Survey,3,1,3,4,5,3,False,7,False
997,EMP1241,Network Engineering,Cardiff Office,2025-10-25,2025-10,Onboarding Survey,4,5,2,4,3,4,True,-19,False
998,EMP1725,Retail Operations,SnowTelco London Train 26,2025-07-16,2025-07,Pulse Survey,3,1,1,2,4,5,False,11,False
999,EMP1536,Retail Operations,SnowTelco Norwich Shopping 2,2025-05-11,2025-05,Annual Engagement,4,2,4,1,2,1,True,56,False
1000,EMP1686,Customer Service,Glasgow Contact Centre,2025-10-07,2025-10,Pulse Survey,4,4,1,1,3,1,True,-76,True
1001,EMP1490,Security,Manchester Office,2025-03-10,2025-03,Annual Engagement,5,3,2,3,4,2,True,77,True
1002,EMP1062,Network Engineering,Manchester Office,2025-06-23,2025-06,Annual Engagement,4,1,2,2,1,4,True,60,False
1003,EMP0376,Retail Operations,SnowTelco Liverpool Airport 6,2025-02-19,2025-02,Pulse Survey,4,4,3,3,4,1,True,-2,True
1004,EMP1691,Customer Service,Manchester Contact Centre,2025-06-12,2025-06,Pulse Survey,4,4,3,5,4,3,True,31,True
1005,EMP0219,HR,Cardiff Office,2025-10-16,2025-10,Pulse Survey,5,3,2,3,2,3,True,-91,True
1006,EMP1100,IT,London HQ,2025-04-18,2025-04,Pulse Survey,4,1,3,3,2,2,False,71,False
1007,EMP1116,IT,Edinburgh Office,2025-06-14,2025-06,Pulse Survey,5,3,5,1,3,5,True,65,False
1008,EMP0085,Customer Service,Manchester Contact Centre,2025-11-09,2025-11,Pulse Survey,4,2,2,4,1,5,False,-57,False
1009,EMP0430,Network Engineering,London HQ,2025-05-16,2025-05,Pulse Survey,5,2,3,2,1,5,False,-94,True
1010,EMP0815,Retail Operations,SnowTelco Bristol Flagship,2025-06-03,2025-06,Pulse Survey,3,2,5,4,4,2,False,-45,False
1011,EMP1054,Retail Operations,SnowTelco Milton Keynes Retail 2,2025-12-08,2025-12,Annual Engagement,3,4,3,4,2,2,True,-29,False
1012,EMP0219,HR,Cardiff Office,2025-02-24,2025-02,Pulse Survey,2,1,5,4,1,3,False,-76,True
1013,EMP0479,Retail Operations,SnowTelco Plymouth Airport 3,2026-02-20,2026-02,Pulse Survey,4,4,5,4,4,1,True,40,True
1014,EMP1806,Retail Operations,SnowTelco Birmingham High 3,2025-09-07,2025-09,Onboarding Survey,4,1,1,2,4,2,True,78,False
1015,EMP0373,Marketing,Birmingham Office,2025-10-02,2025-10,Pulse Survey,4,5,2,4,4,3,True,-4,False
1016,EMP0775,Network Engineering,Cardiff Office,2026-02-06,2026-02,Pulse Survey,4,4,2,3,2,3,True,-3,False
1017,EMP1236,Retail Operations,SnowTelco London Shopping 32,2025-05-08,2025-05,Annual Engagement,3,5,3,1,2,5,True,53,False
1018,EMP1197,IT,Manchester Office,2025-01-06,2025-01,Pulse Survey,4,4,4,4,1,4,False,50,True
1019,EMP1823,HR,Cardiff Office,2025-05-19,2025-05,Onboarding Survey,3,1,5,2,2,2,False,38,False
1020,EMP0644,Network Engineering,Edinburgh Office,2026-02-02,2026-02,Pulse Survey,4,2,5,5,3,2,True,59,True
1021,EMP1139,Network Engineering,Cardiff Office,2025-12-29,2025-12,Exit Survey,4,3,2,1,3,4,True,84,True
1022,EMP0831,Retail Operations,SnowTelco Birmingham Flagship,2025-12-29,2025-12,Pulse Survey,3,5,3,4,3,2,True,-75,False
1023,EMP1509,Network Engineering,Cardiff Office,2025-01-03,2025-01,Annual Engagement,3,5,4,5,4,1,False,93,False
1024,EMP1457,Retail Operations,SnowTelco Liverpool Airport 6,2025-05-18,2025-05,Annual Engagement,3,2,3,4,2,1,True,-8,True
1025,EMP1257,Retail Operations,SnowTelco Birmingham High 3,2025-01-16,2025-01,Exit Survey,4,5,4,2,5,2,True,-30,True
1026,EMP0577,Sales - Consumer,London HQ,2025-05-18,2025-05,Annual Engagement,5,3,3,3,3,5,False,-47,False
1027,EMP0492,Marketing,Edinburgh Office,2025-06-27,2025-06,Pulse Survey,5,5,2,4,3,4,True,-98,True
1028,EMP1464,Customer Service,Manchester Contact Centre,2025-11-10,2025-11,Annual Engagement,4,4,5,2,3,1,False,-60,False
1029,EMP0727,Network Engineering,Manchester Office,2026-02-28,2026-02,Pulse Survey,4,5,4,5,1,1,False,-88,False
1030,EMP0821,Sales - Consumer,Cardiff Office,2026-01-21,2026-01,Onboarding Survey,5,1,3,5,3,5,True,-42,False
1031,EMP0592,Sales - B2B,Edinburgh Office,2025-11-29,2025-11,Annual Engagement,5,4,2,1,2,4,True,6,True
1032,EMP1999,Customer Service,London Contact Centre,2026-01-18,2026-01,Annual Engagement,4,2,3,5,4,3,True,21,False
1033,EMP1269,Sales - Consumer,Birmingham Office,2025-01-04,2025-01,Onboarding Survey,4,5,2,3,1,5,True,6,False
1034,EMP1727,Supply Chain,Cardiff Office,2025-07-12,2025-07,Pulse Survey,5,2,3,3,4,5,True,33,False
1035,EMP0527,Retail Operations,SnowTelco Cardiff Shopping 4,2025-07-18,2025-07,Exit Survey,4,3,2,3,5,4,True,-6,False
1036,EMP1060,Customer Service,Glasgow Contact Centre,2025-02-08,2025-02,Exit Survey,4,5,1,4,1,5,True,76,False
1037,EMP1787,Network Engineering,London HQ,2025-12-30,2025-12,Annual Engagement,4,2,2,2,2,1,False,85,True
1038,EMP1311,Sales - Consumer,Manchester Office,2025-03-14,2025-03,Pulse Survey,1,3,1,3,2,3,False,-64,False
1039,EMP1253,IT,Manchester Office,2025-03-15,2025-03,Pulse Survey,3,1,5,5,5,3,True,34,True
1040,EMP0752,Retail Operations,SnowTelco Coventry Airport 3,2025-10-21,2025-10,Annual Engagement,5,1,1,2,1,5,True,-10,False
1041,EMP1079,Marketing,Edinburgh Office,2025-09-18,2025-09,Pulse Survey,1,2,4,4,1,3,True,37,False
1042,EMP0996,Customer Service,Manchester Contact Centre,2025-09-01,2025-09,Pulse Survey,4,3,4,3,2,5,True,83,False
1043,EMP1114,Product Management,Cardiff Office,2025-07-20,2025-07,Pulse Survey,5,2,2,4,1,3,True,74,False
1044,EMP1344,Retail Operations,SnowTelco Manchester Train 9,2025-06-20,2025-06,Pulse Survey,5,1,3,5,5,2,True,19,False
1045,EMP1084,Finance,Cardiff Office,2025-03-09,2025-03,Annual Engagement,5,4,4,2,4,4,False,82,True
1046,EMP0793,Customer Service,London Contact Centre,2026-02-26,2026-02,Pulse Survey,2,5,5,3,2,2,True,-11,True
1047,EMP1398,Executive,Birmingham Office,2025-10-22,2025-10,Pulse Survey,4,2,4,4,4,2,True,-72,False
1048,EMP1416,Customer Service,London Contact Centre,2025-06-09,2025-06,Pulse Survey,5,5,3,1,4,4,False,41,True
1049,EMP0716,Customer Service,Manchester Contact Centre,2025-07-09,2025-07,Annual Engagement,4,5,1,2,1,3,True,-63,False
1050,EMP0353,Network Engineering,Cardiff Office,2025-01-03,2025-01,Pulse Survey,5,4,1,5,2,4,True,37,True
1051,EMP0785,Retail Operations,SnowTelco Glasgow Retail 7,2026-02-02,2026-02,Annual Engagement,2,4,1,5,5,2,False,17,False
1052,EMP1807,Customer Service,Glasgow Contact Centre,2025-02-08,2025-02,Pulse Survey,4,3,5,1,1,5,True,27,True
1053,EMP0408,IT,Cardiff Office,2025-02-03,2025-02,Pulse Survey,5,4,5,3,5,2,True,51,False
1054,EMP1709,Retail Operations,SnowTelco Edinburgh Train 5,2025-10-15,2025-10,Pulse Survey,3,3,3,5,2,4,True,-57,True
1055,EMP1237,Network Engineering,London HQ,2025-01-08,2025-01,Pulse Survey,3,2,1,2,1,2,True,84,False
1056,EMP1036,Network Engineering,Birmingham Office,2026-02-25,2026-02,Pulse Survey,3,5,5,1,4,2,False,37,False
1057,EMP0418,Product Management,Birmingham Office,2026-01-22,2026-01,Annual Engagement,4,4,4,2,2,3,True,13,False
1058,EMP1772,Product Management,Manchester Office,2025-08-31,2025-08,Pulse Survey,1,3,3,1,4,4,True,14,True
1059,EMP0816,Customer Service,Manchester Contact Centre,2025-10-08,2025-10,Annual Engagement,3,2,5,5,1,1,True,67,True
1060,EMP1250,Retail Operations,SnowTelco Newcastle Flagship,2025-07-10,2025-07,Onboarding Survey,5,2,2,2,1,4,True,80,True
1061,EMP0959,Retail Operations,SnowTelco Reading Retail 2,2025-04-11,2025-04,Annual Engagement,5,2,5,1,3,1,False,-43,True
1062,EMP1256,Retail Operations,SnowTelco Liverpool Flagship,2026-02-11,2026-02,Onboarding Survey,4,3,4,4,4,1,True,92,True
1063,EMP0405,Customer Service,London Contact Centre,2025-10-11,2025-10,Onboarding Survey,4,2,4,4,2,1,True,-79,True
1064,EMP1109,Retail Operations,SnowTelco Bristol Airport 3,2025-09-07,2025-09,Pulse Survey,3,1,5,3,3,1,True,-88,True
1065,EMP0324,Retail Operations,SnowTelco London Retail 34,2025-11-07,2025-11,Onboarding Survey,5,4,2,2,2,1,False,61,False
1066,EMP0859,Network Engineering,Birmingham Office,2026-02-16,2026-02,Pulse Survey,5,5,4,3,1,5,True,-81,False
1067,EMP0302,HR,Birmingham Office,2025-12-09,2025-12,Pulse Survey,3,5,1,1,3,4,True,-43,True
1068,EMP0015,Customer Service,London Contact Centre,2025-07-19,2025-07,Annual Engagement,3,2,1,4,2,2,True,-72,True
1069,EMP1876,Finance,Edinburgh Office,2026-02-15,2026-02,Annual Engagement,4,5,1,3,5,1,False,-97,True
1070,EMP0610,Retail Operations,SnowTelco London High 17,2025-01-20,2025-01,Pulse Survey,4,5,1,5,2,1,False,-55,False
1071,EMP1156,Marketing,Cardiff Office,2025-05-07,2025-05,Pulse Survey,4,1,2,3,3,5,True,73,True
1072,EMP0535,Network Engineering,Manchester Office,2026-02-27,2026-02,Pulse Survey,3,4,5,5,3,4,True,-6,False
1073,EMP1896,Network Engineering,London HQ,2025-08-12,2025-08,Annual Engagement,5,1,5,2,3,4,True,-55,False
1074,EMP1246,Network Engineering,Manchester Office,2026-01-24,2026-01,Annual Engagement,5,5,1,4,5,1,False,-41,False
1075,EMP0301,Retail Operations,SnowTelco Manchester Train 7,2026-01-26,2026-01,Pulse Survey,3,1,2,4,1,1,True,71,False
1076,EMP0554,Retail Operations,SnowTelco Norwich Shopping 2,2025-04-11,2025-04,Pulse Survey,3,4,2,5,2,5,False,94,False
1077,EMP0953,Facilities,Edinburgh Office,2025-01-02,2025-01,Annual Engagement,4,5,3,4,4,2,False,6,True
1078,EMP1441,IT,Cardiff Office,2025-08-02,2025-08,Pulse Survey,5,4,3,5,5,2,True,48,True
1079,EMP1528,Marketing,Edinburgh Office,2025-06-16,2025-06,Annual Engagement,4,4,2,4,1,1,True,-80,True
1080,EMP1422,Marketing,London HQ,2025-05-01,2025-05,Pulse Survey,2,3,5,4,4,3,True,-31,False
1081,EMP0176,Customer Service,Glasgow Contact Centre,2025-09-25,2025-09,Annual Engagement,5,3,1,3,3,5,False,58,False
1082,EMP1663,Sales - Consumer,Edinburgh Office,2025-04-28,2025-04,Exit Survey,5,2,1,3,4,4,True,37,False
1083,EMP0732,Customer Service,Manchester Contact Centre,2025-04-21,2025-04,Annual Engagement,4,2,5,3,3,3,False,-31,True
1084,EMP1999,Customer Service,London Contact Centre,2026-01-26,2026-01,Pulse Survey,5,5,5,5,2,3,False,97,True
1085,EMP1324,Legal,London HQ,2025-09-07,2025-09,Annual Engagement,5,4,4,5,5,5,False,-63,False
1086,EMP1819,Retail Operations,SnowTelco Birmingham Train 10,2025-11-02,2025-11,Annual Engagement,4,2,3,2,5,1,True,-18,True
1087,EMP1041,Customer Service,Manchester Contact Centre,2025-04-09,2025-04,Exit Survey,2,5,4,4,3,2,True,95,False
1088,EMP1146,Sales - Consumer,Cardiff Office,2026-02-25,2026-02,Annual Engagement,4,1,1,2,5,5,True,-100,True
1089,EMP0385,Retail Operations,SnowTelco Brighton Shopping 3,2025-08-06,2025-08,Pulse Survey,4,2,2,3,1,2,True,-34,False
1090,EMP0825,Network Engineering,Manchester Office,2025-02-26,2025-02,Annual Engagement,4,4,3,5,3,4,True,-73,True
1091,EMP0356,Retail Operations,SnowTelco Birmingham Airport 11,2025-03-28,2025-03,Pulse Survey,5,2,3,4,3,3,True,-69,False
1092,EMP1107,HR,Edinburgh Office,2025-06-04,2025-06,Annual Engagement,5,4,1,4,3,3,True,49,False
1093,EMP0475,Network Engineering,Edinburgh Office,2025-02-06,2025-02,Annual Engagement,3,1,2,3,2,1,True,46,True
1094,EMP0998,Supply Chain,Edinburgh Office,2025-03-10,2025-03,Pulse Survey,5,5,2,1,1,3,False,64,False
1095,EMP1825,Finance,Cardiff Office,2025-12-20,2025-12,Pulse Survey,4,4,3,5,3,4,True,-99,False
1096,EMP0510,Marketing,London HQ,2025-03-08,2025-03,Exit Survey,2,4,5,5,2,5,True,18,True
1097,EMP1482,Retail Operations,SnowTelco Belfast Standard,2025-05-13,2025-05,Pulse Survey,4,3,1,2,4,2,True,-46,False
1098,EMP1945,IT,Manchester Office,2025-01-14,2025-01,Pulse Survey,3,1,3,2,4,3,True,17,True
1099,EMP1395,Customer Service,Glasgow Contact Centre,2025-03-06,2025-03,Annual Engagement,5,2,5,5,2,2,True,83,True
1100,EMP0805,Network Engineering,Cardiff Office,2025-10-24,2025-10,Pulse Survey,5,2,1,3,2,2,True,-24,True
1101,EMP1316,Retail Operations,SnowTelco Bristol Retail 6,2025-04-17,2025-04,Pulse Survey,5,3,3,5,3,4,False,-67,False
1102,EMP1264,Retail Operations,SnowTelco London Airport 42,2026-01-20,2026-01,Pulse Survey,4,5,2,1,3,3,False,-17,False
1103,EMP1351,Retail Operations,SnowTelco London Retail 11,2025-12-16,2025-12,Pulse Survey,4,2,5,1,3,1,True,24,True
1104,EMP0404,Retail Operations,SnowTelco London Train 38,2025-02-26,2025-02,Exit Survey,5,2,2,2,3,3,True,-14,False
1105,EMP0378,Customer Service,Manchester Contact Centre,2025-12-30,2025-12,Annual Engagement,4,5,5,5,4,3,True,-27,True
1106,EMP1756,Sales - B2B,London HQ,2025-12-19,2025-12,Pulse Survey,2,5,5,4,1,5,True,8,False
1107,EMP0014,Customer Service,London Contact Centre,2025-12-09,2025-12,Pulse Survey,4,4,4,1,5,2,True,-61,False
1108,EMP0256,Customer Service,Manchester Contact Centre,2025-08-19,2025-08,Pulse Survey,2,4,4,3,5,5,False,49,True
1109,EMP1293,Sales - B2B,Cardiff Office,2025-10-30,2025-10,Pulse Survey,1,4,2,3,2,4,False,96,True
1110,EMP1246,Network Engineering,Manchester Office,2026-02-15,2026-02,Annual Engagement,5,1,5,4,3,5,False,-36,False
1111,EMP1452,Legal,London HQ,2025-10-30,2025-10,Annual Engagement,4,5,1,5,1,4,True,-83,True
1112,EMP0955,Network Engineering,Manchester Office,2025-01-27,2025-01,Annual Engagement,4,4,2,1,3,4,False,21,False
1113,EMP0275,Retail Operations,SnowTelco Bristol Train 5,2026-01-28,2026-01,Pulse Survey,5,3,5,1,5,4,True,-25,False
1114,EMP1788,Retail Operations,SnowTelco Birmingham Airport 9,2025-12-08,2025-12,Pulse Survey,4,5,3,1,2,1,True,22,True
1115,EMP1577,Marketing,Birmingham Office,2025-04-06,2025-04,Pulse Survey,3,3,5,4,2,2,False,33,True
1116,EMP1671,HR,Manchester Office,2025-03-18,2025-03,Pulse Survey,4,1,3,2,4,3,True,51,False
1117,EMP0886,Retail Operations,SnowTelco Manchester Train 2,2025-07-24,2025-07,Pulse Survey,4,2,1,3,1,1,True,49,True
1118,EMP0019,Retail Operations,SnowTelco Bristol Retail 6,2025-03-24,2025-03,Annual Engagement,4,1,5,4,3,3,True,100,False
1119,EMP0473,Customer Service,London Contact Centre,2025-02-03,2025-02,Pulse Survey,4,2,2,3,4,3,True,-55,False
1120,EMP0427,Retail Operations,SnowTelco Leicester Retail 4,2026-02-02,2026-02,Annual Engagement,3,5,5,2,2,5,True,2,True
1121,EMP0461,Supply Chain,Edinburgh Office,2025-01-29,2025-01,Pulse Survey,4,1,4,4,5,1,True,-92,False
1122,EMP0193,Sales - Consumer,Cardiff Office,2025-02-19,2025-02,Pulse Survey,3,3,4,4,1,2,True,39,True
1123,EMP0234,Retail Operations,SnowTelco London Retail 14,2025-06-22,2025-06,Annual Engagement,3,3,1,2,5,5,True,24,False
1124,EMP0820,Retail Operations,SnowTelco Sheffield Train 4,2025-01-03,2025-01,Pulse Survey,4,2,1,1,3,2,True,-80,True
1125,EMP1091,HR,Cardiff Office,2025-04-17,2025-04,Pulse Survey,5,1,2,2,1,2,True,48,False
1126,EMP0702,Customer Service,Manchester Contact Centre,2025-12-02,2025-12,Annual Engagement,4,2,3,4,3,2,True,94,False
1127,EMP1108,Sales - Consumer,Edinburgh Office,2025-06-26,2025-06,Pulse Survey,4,5,4,4,1,2,True,-93,False
1128,EMP1515,HR,Manchester Office,2025-03-02,2025-03,Pulse Survey,3,5,1,4,5,2,True,-24,False
1129,EMP0874,Retail Operations,SnowTelco Leicester Standard,2025-11-21,2025-11,Annual Engagement,3,4,2,2,5,2,True,-65,False
1130,EMP1439,Retail Operations,SnowTelco Nottingham Flagship,2025-03-14,2025-03,Annual Engagement,5,5,5,2,3,2,True,2,False
1131,EMP0688,Retail Operations,SnowTelco Sheffield High 2,2025-03-30,2025-03,Annual Engagement,4,5,4,3,5,3,True,18,False
1132,EMP1282,IT,London HQ,2025-05-31,2025-05,Annual Engagement,2,5,4,3,1,4,True,27,False
1133,EMP0630,Customer Service,Glasgow Contact Centre,2025-07-24,2025-07,Pulse Survey,4,4,4,1,2,4,True,35,False
1134,EMP0141,Product Management,London HQ,2025-08-12,2025-08,Annual Engagement,4,4,1,5,5,3,False,-53,False
1135,EMP0231,Retail Operations,SnowTelco Leeds Flagship,2025-03-12,2025-03,Annual Engagement,3,2,5,4,3,4,False,58,True
1136,EMP0351,Customer Service,Manchester Contact Centre,2025-04-27,2025-04,Exit Survey,4,5,3,5,1,2,True,-76,False
1137,EMP0150,Sales - B2B,Cardiff Office,2025-03-17,2025-03,Annual Engagement,3,1,1,2,5,1,True,4,False
1138,EMP0332,Executive,Birmingham Office,2025-08-09,2025-08,Pulse Survey,2,1,5,3,1,1,True,36,True
1139,EMP1740,Retail Operations,SnowTelco Derby Shopping 2,2025-07-26,2025-07,Pulse Survey,2,1,1,1,3,3,False,-50,True
1140,EMP0772,Retail Operations,SnowTelco Birmingham High 7,2025-02-14,2025-02,Pulse Survey,4,4,5,1,2,4,True,34,False
1141,EMP1392,Customer Service,London Contact Centre,2025-12-05,2025-12,Pulse Survey,5,1,3,4,3,3,False,18,True
1142,EMP1792,IT,London HQ,2025-08-17,2025-08,Pulse Survey,5,1,3,4,4,5,False,7,True
1143,EMP1320,Supply Chain,Birmingham Office,2026-01-27,2026-01,Annual Engagement,4,4,4,1,3,5,True,-32,False
1144,EMP0714,Customer Service,London Contact Centre,2025-04-15,2025-04,Annual Engagement,3,2,2,3,4,1,False,-77,False
1145,EMP1113,Retail Operations,SnowTelco Birmingham Airport 11,2025-11-04,2025-11,Pulse Survey,2,4,4,1,1,4,True,-16,True
1146,EMP1393,Finance,Cardiff Office,2025-06-07,2025-06,Onboarding Survey,3,3,2,3,4,1,True,78,False
1147,EMP0289,Marketing,Manchester Office,2025-07-10,2025-07,Pulse Survey,5,2,3,2,5,3,True,-17,True
1148,EMP0698,Retail Operations,SnowTelco Manchester Airport 4,2025-09-22,2025-09,Pulse Survey,4,1,2,3,2,1,True,23,False
1149,EMP1742,Sales - B2B,Cardiff Office,2025-11-02,2025-11,Pulse Survey,4,5,5,2,4,1,True,21,False
1150,EMP0654,Retail Operations,SnowTelco Coventry Standard,2025-06-14,2025-06,Annual Engagement,4,2,5,4,1,3,True,86,False
1151,EMP1845,Retail Operations,SnowTelco London Airport 8,2025-03-08,2025-03,Onboarding Survey,3,5,1,2,2,1,False,-33,False
1152,EMP0544,Network Engineering,Cardiff Office,2026-02-18,2026-02,Pulse Survey,5,2,2,5,5,4,True,-24,True
1153,EMP0375,Sales - Consumer,Birmingham Office,2026-01-16,2026-01,Pulse Survey,4,3,5,2,3,3,True,95,False
1154,EMP1706,HR,Cardiff Office,2025-10-02,2025-10,Pulse Survey,5,2,3,1,3,1,False,-54,False
1155,EMP1692,Product Management,London HQ,2025-05-22,2025-05,Annual Engagement,5,4,1,5,5,4,False,17,True
1156,EMP1158,HR,London HQ,2025-04-02,2025-04,Pulse Survey,4,4,5,2,4,3,False,-11,False
1157,EMP0543,Sales - Consumer,Cardiff Office,2025-06-06,2025-06,Pulse Survey,2,4,4,2,4,1,False,13,True
1158,EMP1767,Finance,Birmingham Office,2025-09-26,2025-09,Onboarding Survey,3,3,4,3,5,4,True,-10,False
1159,EMP1875,Retail Operations,SnowTelco Stoke Standard,2025-09-14,2025-09,Pulse Survey,4,2,1,4,3,4,False,-47,True
1160,EMP0354,Sales - B2B,London HQ,2025-04-08,2025-04,Annual Engagement,4,5,1,3,5,2,False,-50,True
1161,EMP1941,Marketing,London HQ,2025-04-05,2025-04,Onboarding Survey,4,2,2,3,4,4,False,-11,False
1162,EMP1097,Security,London HQ,2025-02-16,2025-02,Annual Engagement,3,1,4,1,3,5,True,77,False
1163,EMP1197,IT,Manchester Office,2025-03-18,2025-03,Annual Engagement,3,4,5,3,4,5,True,-89,True
1164,EMP1711,Sales - B2B,Cardiff Office,2026-02-25,2026-02,Annual Engagement,4,5,3,2,2,5,True,10,False
1165,EMP0788,Marketing,Manchester Office,2025-06-16,2025-06,Annual Engagement,3,2,3,1,5,3,True,-70,True
1166,EMP0391,Retail Operations,SnowTelco Birmingham Retail 4,2025-08-05,2025-08,Annual Engagement,5,4,2,3,1,3,True,-13,False
1167,EMP0390,Retail Operations,SnowTelco Brighton Airport 4,2025-06-14,2025-06,Onboarding Survey,4,3,3,2,3,5,True,96,False
1168,EMP1082,Customer Service,Manchester Contact Centre,2025-09-05,2025-09,Annual Engagement,5,4,5,3,1,3,True,28,True
1169,EMP1192,Sales - B2B,Manchester Office,2025-01-22,2025-01,Pulse Survey,1,2,2,4,3,3,True,99,False
1170,EMP1825,Finance,Cardiff Office,2025-08-16,2025-08,Annual Engagement,4,1,3,3,1,1,True,-39,True
1171,EMP0619,Retail Operations,SnowTelco Plymouth Airport 3,2025-12-21,2025-12,Pulse Survey,5,4,4,4,5,5,False,27,True
1172,EMP0758,Sales - B2B,London HQ,2025-03-08,2025-03,Onboarding Survey,4,3,2,4,4,1,True,-65,False
1173,EMP0213,Sales - B2B,Edinburgh Office,2025-08-31,2025-08,Annual Engagement,4,3,2,5,4,2,False,60,True
1174,EMP1617,Retail Operations,SnowTelco Plymouth Standard,2025-10-10,2025-10,Exit Survey,4,1,5,3,4,5,True,78,False
1175,EMP0912,Network Engineering,Edinburgh Office,2025-03-10,2025-03,Pulse Survey,3,3,4,3,1,3,True,83,False
1176,EMP1462,Finance,Manchester Office,2025-07-30,2025-07,Annual Engagement,4,4,3,2,4,3,False,-70,True
1177,EMP1862,Customer Service,Manchester Contact Centre,2025-12-21,2025-12,Pulse Survey,5,5,2,4,5,1,False,56,False
1178,EMP0744,Customer Service,London Contact Centre,2025-06-04,2025-06,Annual Engagement,5,3,1,3,5,2,False,-99,True
1179,EMP1545,Security,Cardiff Office,2025-11-27,2025-11,Pulse Survey,4,4,3,4,4,1,True,-31,True
1180,EMP1631,HR,Birmingham Office,2025-03-09,2025-03,Pulse Survey,5,4,4,1,2,2,False,70,True
1181,EMP1037,Sales - B2B,Birmingham Office,2025-01-04,2025-01,Annual Engagement,5,3,5,3,5,3,True,20,True
1182,EMP1233,Finance,Edinburgh Office,2026-02-07,2026-02,Annual Engagement,3,2,3,2,3,4,False,-67,True
1183,EMP0999,Customer Service,London Contact Centre,2025-06-21,2025-06,Annual Engagement,4,3,3,5,4,4,False,-19,True
1184,EMP1029,Retail Operations,SnowTelco Belfast Airport 4,2026-01-12,2026-01,Pulse Survey,4,5,3,4,5,5,True,-49,True
1185,EMP0735,Retail Operations,SnowTelco London Shopping 13,2025-05-15,2025-05,Onboarding Survey,4,3,2,3,3,5,True,8,False
1186,EMP1770,Marketing,Cardiff Office,2025-07-01,2025-07,Onboarding Survey,4,2,5,1,4,3,False,93,True
