snapshot_id,snapshot_date,stage_name,opportunity_count,total_amount,weighted_amount,avg_days_in_stage
SNP10000371,2025-11-21,Needs Analysis,94,4369812.01,1747924.8,21
SNP10000372,2025-11-21,Value Proposition,70,3505531.26,1752765.63,38
SNP10000373,2025-11-21,Proposal/Price Quote,73,3449959.44,2069975.66,9
SNP10000374,2025-11-21,Negotiation/Review,74,3286915.11,2465186.33,31
SNP10000375,2025-11-21,Id. Decision Makers,42,1921665.79,1537332.63,14
SNP10000376,2025-11-21,Perception Analysis,29,1304527.76,1108848.59,22
SNP10000377,2025-11-28,Prospecting,96,5282823.3,528282.33,38
SNP10000378,2025-11-28,Qualification,71,4054047.4,810809.48,34
SNP10000379,2025-11-28,Needs Analysis,80,4024722.49,1609888.99,12
SNP10000380,2025-11-28,Value Proposition,80,3731405.2,1865702.6,34
SNP10000381,2025-11-28,Proposal/Price Quote,57,3036111.83,1821667.1,15
SNP10000382,2025-11-28,Negotiation/Review,64,3041509.91,2281132.44,39
SNP10000383,2025-11-28,Id. Decision Makers,36,1786802.36,1429441.89,21
SNP10000384,2025-11-28,Perception Analysis,18,1047349.92,890247.43,39
SNP10000385,2025-12-05,Prospecting,134,6365049.55,636504.95,35
SNP10000386,2025-12-05,Qualification,77,4337402.94,867480.59,13
SNP10000387,2025-12-05,Needs Analysis,82,4177097.51,1670839.0,37
SNP10000388,2025-12-05,Value Proposition,85,3928299.1,1964149.55,22
SNP10000389,2025-12-05,Proposal/Price Quote,49,2899221.79,1739533.08,29
SNP10000390,2025-12-05,Negotiation/Review,54,2862688.35,2147016.26,8
SNP10000391,2025-12-05,Id. Decision Makers,41,1933016.17,1546412.94,39
SNP10000392,2025-12-05,Perception Analysis,17,1029289.99,874896.49,41
SNP10000393,2025-12-12,Prospecting,130,6287946.02,628794.6,18
SNP10000394,2025-12-12,Qualification,75,4261247.56,852249.51,24
SNP10000395,2025-12-12,Needs Analysis,81,4151694.17,1660677.67,28
SNP10000396,2025-12-12,Value Proposition,77,3743020.92,1871510.46,45
SNP10000397,2025-12-12,Proposal/Price Quote,58,3141147.3,1884688.38,40
SNP10000398,2025-12-12,Negotiation/Review,74,3346035.51,2509526.64,34
SNP10000399,2025-12-12,Id. Decision Makers,32,1723429.11,1378743.29,22
SNP10000400,2025-12-12,Perception Analysis,17,1039380.02,883473.02,45
SNP10000401,2025-12-19,Prospecting,129,6264027.8,626402.78,18
SNP10000402,2025-12-19,Qualification,78,4366394.58,873278.92,45
SNP10000403,2025-12-19,Needs Analysis,74,3967875.72,1587150.29,29
SNP10000404,2025-12-19,Value Proposition,87,3975077.9,1987538.95,37
SNP10000405,2025-12-19,Proposal/Price Quote,74,3557517.24,2134510.34,20
SNP10000406,2025-12-19,Negotiation/Review,48,2695956.02,2021967.02,38
SNP10000407,2025-12-19,Id. Decision Makers,27,1575007.84,1260006.27,35
SNP10000408,2025-12-19,Perception Analysis,18,1057934.8,899244.58,7
SNP10000409,2025-12-26,Prospecting,124,6125585.99,612558.6,14
SNP10000410,2025-12-26,Qualification,123,5461600.32,1092320.06,39
SNP10000411,2025-12-26,Needs Analysis,66,3744114.58,1497645.83,22
SNP10000412,2025-12-26,Value Proposition,54,3140107.36,1570053.68,17
SNP10000413,2025-12-26,Proposal/Price Quote,58,3134384.71,1880630.82,35
SNP10000414,2025-12-26,Negotiation/Review,58,2980232.83,2235174.62,45
SNP10000415,2025-12-26,Id. Decision Makers,39,1882969.33,1506375.47,20
SNP10000416,2025-12-26,Perception Analysis,20,1102826.62,937402.63,33
